timestamp,x,y,z
0,-2.6,-14.61,10.13
10,-2.34,-14.16,10.96
20,-1.64,-14.24,11.23
30,-0.73,-14.77,10.97
40,-0.1,-15.06,10.61
50,0.01,-14.45,10.52
60,-0.57,-12.97,10.43
70,-1.51,-10.76,9.89
80,-2.69,-8.66,8.94
90,-3.8,-7.02,7.67
100,-4.51,-5.42,6.35
110,-4.85,-4.46,4.83
120,-4.79,-3.91,3.15
130,-4.4,-3.35,1.49
140,-3.86,-2.61,0.12
150,-3.34,-1.79,-1.03
160,-2.92,-1.13,-2.17
170,-2.61,-0.9,-3.27
180,-2.38,-0.74,-4.07
190,-2.21,-0.42,-4.6
200,-2.21,0.0,-4.95
210,-2.3,0.57,-5.33
220,-2.48,1.41,-5.81
230,-2.74,2.31,-6.49
240,-3.09,3.0,-7.36
250,-3.45,3.45,-8.16
260,-3.68,4.0,-8.64
270,-3.57,4.42,-8.81
280,-3.19,4.61,-8.77
290,-2.64,4.57,-8.74
300,-2.13,4.59,-8.6
310,-1.69,4.75,-8.43
320,-1.36,5.21,-8.32
330,-0.99,5.99,-8.34
340,-0.8,6.49,-8.61
350,-0.69,6.97,-8.73
360,-0.82,7.56,-8.53
370,-1.31,8.5,-7.83
380,-2.18,9.97,-6.68
390,-3.19,11.65,-5.32
400,-4.09,13.18,-3.8
410,-4.77,14.35,-2.0
420,-5.1,15.33,0.39
430,-4.89,16.21,3.17
440,-3.9,16.76,6.2
450,-2.5,15.92,9.06
460,-1.1,14.67,12.09
470,-0.21,14.08,15.64
480,-0.37,14.14,19.22
490,-2.36,13.92,22.85
500,-5.12,14.9,28.2
510,-6.35,16.09,35.77
520,-5.09,13.31,43.79
530,1.0,9.38,52.9
540,9.5,-0.06,62.53
550,13.43,-7.58,58.72
560,11.97,-11.31,49.17
570,7.17,-10.75,41.43
580,0.29,-9.52,35.59
590,-4.15,-8.03,32.3
600,-3.59,-8.22,30.74
610,1.02,-10.3,30.69
620,10.19,-15.11,34.57
630,13.75,-16.58,28.95
640,12.6,-16.14,18.94
650,9.95,-14.0,14.12
660,6.79,-11.16,13.13
670,4.62,-9.6,14.09
680,3.91,-8.97,15.19
690,3.47,-8.76,14.88
700,2.63,-8.03,13.19
710,1.57,-7.44,12.1
720,0.83,-7.27,13.05
730,-0.03,-7.64,16.2
740,-0.95,-7.52,20.72
750,-2.97,-7.11,24.69
760,-6.03,-6.42,26.43
770,-8.93,-5.68,26.51
780,-10.58,-6.05,27.5
790,-11.43,-5.63,29.38
800,-12.18,-3.48,30.75
810,-13.21,-0.28,30.27
820,-13.57,2.41,27.91
830,-12.03,4.34,24.78
840,-8.9,5.31,20.87
850,-4.88,5.54,15.63
860,-1.72,4.84,10.51
870,0.7,3.95,6.0
880,2.36,3.13,3.25
890,3.39,1.57,2.07
900,3.92,-0.5,2.41
910,3.99,-1.67,3.74
920,3.41,-1.8,4.72
930,2.72,-0.94,4.45
940,2.26,-0.0,2.61
950,2.11,0.6,0.2
960,2.19,0.76,-1.94
970,2.35,0.32,-3.46
980,2.4,-0.02,-4.03
990,2.28,-0.18,-3.49
1000,2.07,-0.37,-2.27
