timestamp,x,y,z
0,-4.12,-9.57,2.92
10,-3.52,-9.62,3.05
20,-3.02,-9.87,2.57
30,-2.69,-10.26,1.75
40,-2.22,-9.53,1.13
50,-1.88,-8.32,0.57
60,-1.68,-7.63,-0.37
70,-1.43,-7.31,-1.61
80,-1.24,-7.07,-2.67
90,-1.06,-6.7,-3.31
100,-0.9,-6.29,-3.69
110,-0.78,-5.65,-3.93
120,-0.74,-4.79,-4.02
130,-0.79,-3.77,-4.05
140,-0.97,-2.67,-4.0
150,-1.3,-1.39,-4.03
160,-1.65,-0.05,-4.26
170,-1.94,1.07,-4.83
180,-2.11,1.91,-5.97
190,-2.28,2.11,-7.34
200,-2.23,2.49,-8.62
210,-2.24,2.87,-9.33
220,-2.38,3.16,-9.45
230,-2.43,3.84,-9.01
240,-2.59,4.2,-8.43
250,-2.66,4.65,-7.53
260,-2.74,4.89,-6.39
270,-2.67,5.09,-5.24
280,-2.61,5.52,-4.32
290,-2.04,6.41,-3.39
300,-1.94,6.09,-2.63
310,-1.63,5.64,-1.96
320,-1.29,5.26,-1.17
330,-1.07,5.02,0.08
340,-1.02,5.41,1.34
350,-1.34,5.8,2.46
360,-2.03,6.26,3.37
370,-2.9,6.86,4.36
380,-3.5,7.46,4.84
390,-3.55,8.04,4.76
400,-3.13,8.31,4.28
410,-2.61,7.85,3.72
420,-2.13,7.63,3.92
430,-1.89,8.33,5.8
440,-1.77,9.15,8.77
450,-2.13,10.14,12.13
460,-2.47,13.61,16.75
470,-1.52,13.16,22.21
480,2.76,18.46,29.36
490,4.96,13.63,33.66
500,12.55,12.85,39.49
510,19.65,5.98,42.76
520,25.84,1.69,48.02
530,27.65,-2.92,53.74
540,26.21,-8.38,53.87
550,22.0,-9.64,48.3
560,16.97,-6.31,46.05
570,14.8,-5.54,40.54
580,17.2,-11.58,36.22
590,18.59,-12.34,31.08
600,18.95,-10.99,30.67
610,21.05,-11.97,27.82
620,23.64,-13.12,24.16
630,24.45,-13.64,21.72
640,23.13,-12.77,20.43
650,19.89,-10.9,20.26
660,15.61,-8.84,20.0
670,11.63,-6.49,19.67
680,8.84,-5.14,20.13
690,6.57,-5.16,22.33
700,3.43,-5.28,26.04
710,1.17,-4.43,28.44
720,-1.71,-2.34,30.49
730,-3.9,0.68,30.22
740,-4.76,3.45,27.09
750,-4.51,4.95,21.83
760,-3.81,5.06,16.41
770,-3.37,4.28,11.71
780,-2.88,3.77,8.55
790,-2.06,3.62,7.01
800,-0.8,3.06,5.66
810,0.53,2.11,3.83
820,1.76,1.59,1.95
830,2.42,0.89,0.6
840,2.42,0.71,-0.34
850,2.0,1.42,-1.37
860,1.18,2.32,-2.18
870,0.86,2.77,-4.25
880,0.94,3.04,-6.29
890,1.45,2.95,-7.57
900,2.19,2.73,-7.61
910,2.55,1.36,-7.19
920,2.41,0.33,-5.66
930,2.02,0.65,-2.99
940,1.68,0.91,0.09
950,1.92,0.68,2.99
960,2.61,-0.32,3.85
970,3.33,-1.56,2.79
980,3.67,-3.09,0.69
990,3.16,-4.9,-1.92
1000,1.99,-5.37,-3.46
