timestamp,x,y,z
0,0.43,-4.72,-4.69
10,0.51,-4.9,-4.67
20,0.59,-4.82,-4.38
30,0.65,-4.72,-4.16
40,0.66,-4.47,-4.17
50,0.63,-4.08,-4.28
60,0.53,-3.87,-4.52
70,0.33,-3.55,-4.79
80,-0.08,-3.17,-4.97
90,-0.42,-2.3,-5.04
100,-0.81,-1.52,-5.31
110,-1.1,-0.85,-5.74
120,-1.25,-0.31,-6.18
130,-1.4,0.37,-6.37
140,-1.79,1.04,-6.4
150,-2.42,2.3,-6.37
160,-3.43,3.63,-6.38
170,-4.57,5.23,-6.36
180,-5.57,6.88,-5.9
190,-6.29,8.14,-4.88
200,-6.63,9.05,-3.66
210,-6.79,9.84,-2.6
220,-6.98,10.84,-1.98
230,-7.21,12.57,-1.84
240,-7.52,14.29,-1.66
250,-7.33,15.5,-0.55
260,-6.05,16.21,2.34
270,-4.12,16.05,6.61
280,-2.15,15.33,11.56
290,-0.63,14.38,16.52
300,-0.38,12.8,21.54
310,-0.15,13.29,27.71
320,1.8,16.05,34.16
330,6.18,14.41,37.71
340,14.17,8.81,41.51
350,20.43,-4.24,47.04
360,25.87,-10.83,50.33
370,26.57,-15.62,49.6
380,23.62,-16.23,46.01
390,17.82,-14.76,40.72
400,11.48,-13.01,35.31
410,7.3,-12.72,33.17
420,4.89,-13.39,33.19
430,3.85,-12.79,31.29
440,4.97,-12.99,27.47
450,8.08,-14.34,22.96
460,11.27,-14.96,18.57
470,13.72,-14.34,16.51
480,16.41,-14.03,16.73
490,18.29,-14.57,17.45
500,18.42,-14.59,17.19
510,16.95,-13.96,16.88
520,14.65,-13.08,16.74
530,11.66,-11.97,17.01
540,8.43,-11.1,18.15
550,5.0,-9.75,21.07
560,1.88,-7.74,24.45
570,0.4,-5.96,26.1
580,-0.27,-5.32,25.55
590,-0.34,-4.69,23.21
600,0.04,-3.98,20.19
610,0.27,-3.71,17.38
620,0.14,-3.95,15.12
630,-0.38,-4.1,13.79
640,-0.96,-3.04,13.2
650,-1.08,-1.54,12.55
660,-0.62,-0.61,10.97
670,0.17,-0.34,8.71
680,1.23,-0.42,6.5
690,2.19,-1.12,4.43
700,2.93,-1.42,2.87
710,3.16,-1.37,1.93
720,2.95,-0.56,1.13
730,2.46,0.33,0.05
740,1.9,1.1,-1.47
750,1.5,1.61,-3.11
760,1.35,1.82,-4.24
770,1.43,1.66,-4.95
780,1.68,1.44,-5.08
790,1.92,1.21,-4.79
800,2.2,0.92,-4.26
810,2.62,0.34,-3.75
820,2.93,-0.34,-3.34
830,3.01,-1.55,-3.27
840,2.7,-2.53,-2.95
850,2.11,-2.5,-2.21
860,1.45,-1.99,-1.5
870,0.88,-1.41,-1.32
880,0.63,-1.39,-1.96
890,0.74,-2.28,-3.07
900,1.06,-3.62,-4.14
910,1.55,-4.64,-4.41
920,1.95,-5.21,-4.2
930,2.17,-5.61,-3.69
940,2.23,-5.84,-3.06
950,2.16,-6.18,-2.71
960,2.1,-6.66,-2.97
970,2.09,-7.46,-3.62
980,2.24,-8.13,-4.08
990,2.27,-8.84,-4.11
1000,2.12,-9.25,-3.5
