timestamp,x,y,z
0,-1.16,3.01,-3.13
10,-2.06,3.05,-2.39
20,-2.64,3.79,-1.28
30,-2.93,4.96,0.32
40,-2.79,6.09,2.2
50,-1.98,7.29,3.94
60,-0.79,7.4,5.08
70,0.76,6.52,5.1
80,2.11,5.69,5.17
90,2.91,4.75,6.02
100,2.93,3.02,9.08
110,2.69,5.44,13.8
120,1.11,6.18,18.74
130,-0.84,5.28,25.32
140,-2.57,6.54,27.8
150,-2.5,5.14,25.92
160,-2.29,2.43,22.72
170,-1.63,1.27,21.81
180,-0.02,0.96,24.75
190,1.97,0.79,29.75
200,3.72,1.31,34.57
210,5.76,2.0,37.1
220,7.91,1.78,37.32
230,10.08,1.41,36.71
240,12.17,1.47,36.17
250,13.69,1.1,35.41
260,13.73,1.11,33.77
270,12.62,1.21,31.39
280,11.09,1.79,28.99
290,10.2,2.78,27.76
300,9.69,3.59,27.28
310,9.29,4.68,28.08
320,9.28,6.44,28.99
330,9.79,8.47,29.5
340,10.18,9.45,29.42
350,9.68,10.31,28.75
360,8.79,11.8,27.63
370,7.68,13.17,25.53
380,6.7,13.88,22.68
390,5.7,14.05,19.59
400,4.76,13.78,17.05
410,4.13,13.12,14.99
420,3.39,13.01,13.22
430,2.56,12.75,11.26
440,1.79,11.63,8.84
450,1.63,10.37,6.96
460,1.7,9.01,5.73
470,1.56,7.09,5.47
480,1.48,6.69,5.36
490,1.22,6.13,4.41
500,0.9,4.86,2.53
510,0.75,2.94,0.41
520,0.95,1.96,-1.02
530,1.52,2.04,-1.79
540,2.38,1.63,-2.1
550,3.41,1.01,-2.31
560,4.45,0.33,-2.49
570,5.29,-0.28,-3.0
580,5.87,-1.09,-3.92
590,6.28,-2.07,-4.95
600,6.27,-2.5,-5.69
610,5.75,-2.35,-5.67
620,4.73,-1.74,-5.27
630,3.76,-1.74,-4.85
640,3.11,-2.35,-4.28
650,2.67,-2.96,-3.45
660,2.31,-3.2,-2.43
670,1.8,-2.74,-1.42
680,1.45,-1.98,-0.5
690,0.83,-1.86,0.25
700,0.99,-1.9,0.79
710,0.72,-2.99,1.38
720,0.62,-3.79,2.0
730,0.8,-4.41,2.5
740,1.06,-4.87,2.86
750,1.11,-5.09,3.15
760,0.94,-5.44,3.26
770,0.62,-5.83,3.2
780,0.38,-5.9,3.12
790,0.28,-6.13,2.82
800,0.29,-6.78,2.53
810,0.52,-7.3,2.55
820,0.92,-7.54,2.81
830,1.28,-7.96,3.05
840,1.5,-8.43,3.24
850,1.49,-8.72,3.34
860,1.32,-8.8,3.46
870,1.17,-8.81,3.72
880,0.94,-8.8,4.05
890,0.89,-8.68,4.41
900,0.93,-8.79,4.7
910,1.07,-8.85,4.96
920,1.32,-8.7,5.41
930,1.46,-8.74,5.74
940,1.44,-8.66,5.84
950,1.29,-8.59,5.57
960,1.0,-8.58,5.12
970,0.66,-8.57,4.71
980,0.43,-8.34,4.62
990,0.35,-8.05,4.74
1000,0.35,-8.1,4.92
