timestamp,x,y,z
0,-0.06,-6.81,3.15
10,-0.37,-6.67,2.96
20,-0.6,-6.48,2.73
30,-0.67,-6.26,2.7
40,-0.67,-6.04,2.72
50,-0.61,-5.72,2.67
60,-0.59,-5.37,2.44
70,-0.73,-4.85,1.98
80,-0.97,-4.22,1.37
90,-1.38,-3.51,0.62
100,-2.18,-2.88,-0.14
110,-3.05,-2.08,-0.91
120,-3.85,-1.16,-1.64
130,-4.53,-0.23,-2.36
140,-5.01,0.69,-3.09
150,-5.2,1.77,-3.64
160,-5.0,2.77,-3.94
170,-4.37,3.56,-3.8
180,-3.41,4.06,-3.15
190,-2.49,4.64,-2.65
200,-1.8,5.15,-3.07
210,-0.97,5.95,-3.21
220,-0.06,6.66,-1.02
230,0.79,6.66,1.19
240,1.0,8.42,2.63
250,1.8,10.43,2.56
260,2.5,10.41,3.15
270,4.27,10.13,4.63
280,6.16,9.56,6.9
290,6.61,8.66,9.65
300,7.24,10.28,13.11
310,6.67,10.65,15.51
320,7.6,9.24,18.5
330,10.21,9.3,21.43
340,13.7,8.54,24.27
350,17.95,6.33,27.01
360,22.68,3.86,29.35
370,26.27,1.19,30.74
380,27.81,-1.72,30.44
390,27.5,-3.15,29.1
400,26.74,-4.7,29.03
410,26.95,-5.78,30.16
420,26.13,-7.55,29.35
430,24.82,-8.46,28.02
440,23.29,-8.64,27.34
450,21.48,-8.31,26.58
460,19.94,-6.9,25.62
470,18.9,-5.37,24.48
480,18.93,-3.85,23.62
490,19.37,-2.72,23.4
500,19.77,-1.25,23.27
510,19.8,0.41,22.71
520,19.69,2.33,21.5
530,19.37,3.77,20.04
540,18.64,5.08,18.14
550,17.37,6.28,15.08
560,15.83,7.07,11.97
570,14.47,7.31,10.05
580,13.23,7.53,9.45
590,11.91,7.88,9.23
600,10.44,8.12,8.39
610,8.83,8.62,7.27
620,7.47,8.99,5.77
630,6.48,9.0,4.02
640,6.01,8.76,2.33
650,5.54,7.65,0.02
660,4.86,6.73,-2.02
670,3.7,6.01,-4.06
680,2.42,5.09,-6.33
690,1.31,3.79,-7.72
700,0.42,2.42,-8.13
710,-0.16,1.54,-8.24
720,-0.58,0.68,-8.39
730,-0.96,-0.34,-7.99
740,-1.27,-0.69,-6.86
750,-1.38,-0.58,-5.54
760,-1.31,-0.9,-4.37
770,-0.86,-0.95,-3.51
780,-0.34,-1.69,-2.94
790,0.3,-2.88,-1.92
800,0.96,-3.63,-0.65
810,1.31,-4.07,0.34
820,1.32,-4.46,0.84
830,1.15,-4.92,1.13
840,0.9,-5.37,1.62
850,0.69,-5.66,2.28
860,0.53,-5.96,2.9
870,0.69,-5.97,3.47
880,0.98,-6.34,3.78
890,1.43,-6.88,4.03
900,1.99,-7.17,4.37
910,2.59,-7.38,4.92
920,3.0,-7.73,5.11
930,3.09,-7.94,4.81
940,2.79,-7.97,4.37
950,2.23,-8.0,4.11
960,1.66,-7.93,4.17
970,1.4,-7.85,4.55
980,1.55,-7.83,5.2
990,2.02,-7.91,5.89
1000,2.46,-7.98,6.4
