timestamp,x,y,z
0,1.01,-9.56,6.56
10,0.9,-9.88,6.84
20,1.02,-10.19,7.25
30,1.13,-10.71,7.93
40,1.4,-11.4,8.11
50,1.83,-12.23,8.05
60,2.48,-13.06,8.24
70,2.96,-13.51,8.71
80,3.17,-13.51,9.07
90,3.15,-13.46,9.35
100,3.2,-13.47,9.9
110,3.27,-13.42,10.51
120,3.28,-13.4,10.57
130,3.29,-13.31,9.99
140,3.31,-13.29,8.97
150,3.34,-13.11,7.8
160,2.83,-12.28,7.59
170,2.52,-11.24,6.88
180,2.35,-10.61,6.45
190,2.57,-10.13,5.95
200,2.81,-10.13,5.68
210,2.98,-10.12,5.99
220,2.8,-9.79,6.48
230,2.21,-9.12,6.5
240,1.44,-8.2,5.83
250,1.23,-7.06,4.58
260,0.46,-6.78,4.12
270,0.25,-5.93,2.72
280,-0.46,-5.73,1.49
290,-1.14,-5.22,0.71
300,-1.57,-4.7,0.06
310,-1.9,-4.27,-0.5
320,-1.97,-3.77,-0.84
330,-1.98,-3.3,-1.28
340,-2.09,-2.72,-1.69
350,-2.23,-2.56,-2.25
360,-2.31,-2.41,-2.53
370,-2.39,-2.17,-2.68
380,-2.4,-1.76,-2.78
390,-2.23,-1.57,-3.08
400,-2.03,-1.65,-3.26
410,-1.87,-1.59,-3.29
420,-1.78,-1.44,-3.3
430,-1.79,-1.09,-3.34
440,-1.67,-0.64,-3.44
450,-1.82,-0.46,-3.65
460,-1.95,0.22,-3.7
470,-2.14,1.2,-3.69
480,-2.32,2.13,-3.81
490,-2.4,3.13,-4.11
500,-2.65,4.15,-4.38
510,-2.89,5.08,-4.63
520,-3.22,6.21,-4.71
530,-3.85,7.27,-4.87
540,-4.39,8.37,-4.87
550,-4.84,9.28,-3.99
560,-5.15,9.9,-2.36
570,-5.42,9.82,-0.18
580,-5.49,9.66,2.59
590,-5.32,9.87,5.1
600,-4.94,10.74,6.34
610,-3.56,11.54,5.68
620,-1.76,10.44,4.79
630,0.1,7.88,7.85
640,2.48,4.99,15.92
650,4.37,2.31,27.2
660,-0.12,-0.72,42.06
670,4.07,-2.83,42.24
680,6.84,-4.25,35.59
690,9.93,-5.54,26.19
700,13.11,-7.97,20.4
710,17.63,-10.76,19.96
720,20.61,-15.6,24.41
730,23.33,-19.84,31.48
740,24.38,-19.85,35.62
750,23.73,-21.7,34.38
760,21.31,-21.23,29.36
770,17.42,-18.21,22.75
780,14.14,-14.64,14.39
790,12.52,-15.2,8.01
800,11.36,-14.42,9.36
810,10.92,-13.74,12.47
820,10.86,-14.05,12.84
830,10.15,-13.02,10.34
840,8.71,-10.83,6.74
850,7.91,-8.94,3.87
860,8.19,-8.41,1.65
870,9.32,-9.44,0.28
880,10.41,-10.89,0.82
890,11.0,-12.05,4.1
900,11.74,-12.78,8.26
910,12.95,-13.48,11.71
920,14.24,-13.67,14.16
930,15.77,-13.6,15.99
940,18.1,-14.82,17.82
950,20.51,-16.12,20.42
960,21.79,-16.78,23.16
970,21.38,-16.14,25.3
980,18.97,-13.96,26.07
990,15.38,-10.74,25.06
1000,12.11,-7.34,22.94
