timestamp,x,y,z
0,-0.85,-5.58,7.76
10,-0.86,-5.46,7.83
20,-0.88,-5.38,7.89
30,-0.91,-5.34,7.89
40,-0.9,-5.38,7.89
50,-0.79,-5.49,8.0
60,-0.73,-5.59,8.17
70,-0.75,-5.61,8.36
80,-0.87,-5.58,8.27
90,-1.07,-5.46,8.07
100,-1.22,-5.38,7.84
110,-1.24,-5.45,7.81
120,-0.96,-5.55,8.03
130,-0.72,-5.54,8.32
140,-0.42,-5.73,8.65
150,-0.16,-5.68,9.19
160,0.28,-5.46,9.11
170,0.4,-5.74,8.66
180,0.19,-6.2,8.28
190,-0.27,-7.13,8.25
200,-0.5,-6.58,8.6
210,-0.91,-6.56,8.86
220,-0.84,-6.43,8.32
230,-0.83,-6.19,7.39
240,-0.69,-7.19,7.64
250,0.01,-9.26,10.22
260,0.74,-10.65,14.31
270,1.9,-13.39,21.4
280,2.43,-15.12,26.96
290,2.6,-12.84,29.22
300,2.26,-10.4,28.57
310,2.0,-9.46,26.93
320,1.14,-8.94,23.0
330,-0.86,-8.41,17.55
340,-2.52,-8.09,13.24
350,-3.11,-7.9,10.65
360,-3.03,-7.58,8.92
370,-2.71,-6.86,7.67
380,-2.32,-5.74,6.64
390,-1.67,-4.73,5.5
400,-1.1,-4.02,4.11
410,-0.83,-3.47,2.49
420,-0.99,-3.26,0.43
430,-1.32,-3.59,-1.91
440,-1.48,-3.47,-3.86
450,-1.47,-3.01,-5.15
460,-1.3,-2.95,-5.44
470,-1.14,-3.21,-5.06
480,-1.21,-3.13,-4.7
490,-1.22,-2.35,-4.52
500,-1.2,-1.43,-4.52
510,-1.14,-0.74,-4.82
520,-0.99,-0.39,-5.7
530,-0.62,-0.81,-6.51
540,-0.11,-1.69,-7.08
550,0.15,-2.26,-7.2
560,0.56,-2.8,-6.76
570,0.85,-1.93,-7.19
580,1.07,-0.9,-6.32
590,1.25,-0.5,-5.6
600,0.66,0.32,-5.35
610,-0.29,1.32,-5.65
620,-1.09,2.16,-6.05
630,-1.8,3.03,-6.01
640,-2.69,3.63,-6.07
650,-3.06,4.28,-5.59
660,-3.06,4.81,-4.51
670,-3.22,4.83,-3.41
680,-3.04,5.52,-2.38
690,-2.66,6.11,-0.94
700,-2.63,6.58,1.09
710,-3.06,7.18,2.42
720,-3.44,7.64,3.21
730,-3.3,7.23,3.55
740,-2.57,5.6,4.25
750,-2.06,3.45,5.42
760,-1.44,2.55,7.22
770,-1.2,2.3,8.71
780,-0.58,2.12,10.36
790,0.27,1.7,13.52
800,1.32,1.27,17.12
810,3.2,-0.96,21.46
820,6.09,-4.41,26.25
830,6.16,-7.15,27.69
840,4.12,-6.02,28.72
850,1.56,-5.9,29.12
860,0.96,-5.3,30.44
870,0.66,-4.34,31.96
880,-0.27,-4.66,32.23
890,-2.34,-5.52,31.49
900,-5.2,-4.64,29.08
910,-7.36,-2.59,28.14
920,-6.78,-2.21,29.38
930,-3.31,-2.94,31.16
940,1.52,-5.44,33.4
950,5.22,-8.28,34.38
960,6.16,-10.19,32.88
970,5.06,-10.49,30.27
980,3.1,-9.63,28.37
990,1.36,-7.63,27.73
1000,0.05,-4.78,28.12
