timestamp,x,y,z
0,-2.4,-5.09,-1.84
10,-2.35,-4.91,-1.96
20,-2.33,-4.78,-2.04
30,-2.34,-4.52,-2.04
40,-2.32,-4.1,-2.04
50,-2.29,-3.48,-2.04
60,-2.26,-2.68,-2.09
70,-2.26,-1.86,-2.23
80,-2.3,-1.13,-2.77
90,-2.39,-0.22,-3.49
100,-2.58,0.93,-4.54
110,-2.73,2.19,-5.75
120,-2.67,3.23,-6.91
130,-2.41,4.24,-7.99
140,-1.95,5.35,-8.72
150,-1.31,6.34,-9.24
160,-0.68,7.16,-9.46
170,-0.14,8.01,-9.25
180,-0.06,9.05,-8.25
190,-0.84,10.18,-6.01
200,-2.02,11.65,-2.84
210,-3.16,13.53,-0.01
220,-3.85,16.07,2.08
230,-4.51,18.7,2.97
240,-3.75,21.07,2.43
250,-3.51,21.22,2.7
260,-2.28,23.66,5.17
270,-2.5,24.75,10.58
280,-4.02,20.27,19.33
290,-4.6,20.76,26.54
300,-6.3,22.18,28.47
310,-7.69,24.6,28.88
320,-6.89,26.28,31.25
330,-3.96,25.7,35.89
340,-0.34,22.9,43.31
350,3.33,19.3,52.08
360,6.03,16.13,53.61
370,7.11,15.52,48.53
380,8.63,16.5,44.59
390,11.96,16.51,43.39
400,15.83,12.93,41.78
410,19.34,9.02,40.66
420,21.18,7.39,40.44
430,20.68,7.2,40.51
440,18.35,7.69,39.14
450,15.2,8.26,37.46
460,12.17,8.96,36.19
470,9.45,10.18,35.19
480,6.81,11.57,34.27
490,4.51,13.85,33.62
500,3.33,16.79,32.83
510,3.24,18.56,31.02
520,4.28,18.36,29.22
530,5.63,18.1,28.56
540,6.36,18.27,28.0
550,5.88,18.91,26.62
560,4.39,19.96,24.75
570,2.43,21.29,22.31
580,0.73,22.7,19.73
590,-0.4,23.23,16.57
600,-0.9,22.67,13.4
610,-0.87,21.37,10.57
620,-0.85,20.46,8.27
630,-1.05,19.01,6.11
640,-1.16,17.24,3.87
650,-1.18,15.57,1.86
660,-1.12,14.31,0.66
670,-0.8,13.26,0.52
680,-0.26,11.99,0.95
690,0.28,10.69,1.26
700,0.66,9.53,0.73
710,0.73,8.73,-0.65
720,0.68,8.29,-2.38
730,0.64,7.77,-4.19
740,0.64,6.8,-6.07
750,0.69,5.74,-7.65
760,0.79,4.88,-8.81
770,1.04,3.78,-9.42
780,1.25,2.53,-9.44
790,1.46,1.72,-8.62
800,1.65,0.76,-7.43
810,1.93,0.41,-5.74
820,2.43,-0.63,-4.62
830,3.04,-2.29,-4.29
840,3.39,-3.54,-4.45
850,3.18,-4.51,-5.09
860,2.25,-5.37,-5.87
870,0.93,-5.76,-6.37
880,-0.21,-5.45,-6.21
890,-0.89,-5.43,-5.82
900,-1.12,-6.28,-5.2
910,-1.0,-6.96,-4.35
920,-0.73,-7.58,-3.59
930,-0.49,-8.06,-2.63
940,-0.29,-8.35,-1.52
950,-0.18,-8.8,-0.34
960,-0.08,-9.03,0.95
970,-0.21,-9.15,1.99
980,-0.68,-9.27,2.6
990,-1.23,-9.2,2.84
1000,-1.56,-9.18,2.84
