timestamp,x,y,z
0,4.05,-5.85,7.64
10,3.68,-5.97,6.85
20,3.33,-6.16,6.14
30,3.15,-6.27,5.92
40,3.11,-6.28,5.97
50,2.98,-6.08,5.93
60,2.77,-5.78,5.76
70,2.42,-5.61,5.23
80,2.0,-5.58,4.47
90,1.64,-5.66,3.84
100,1.36,-5.56,3.46
110,1.09,-5.33,3.15
120,0.77,-5.02,2.52
130,0.17,-4.76,1.56
140,-0.71,-4.46,0.76
150,-1.55,-4.07,0.18
160,-2.27,-3.9,-0.34
170,-2.86,-3.85,-0.91
180,-3.33,-3.76,-1.25
190,-3.81,-3.61,-1.35
200,-4.2,-3.21,-1.27
210,-4.4,-2.75,-1.15
220,-4.37,-2.34,-1.09
230,-4.18,-1.96,-1.25
240,-3.9,-1.68,-1.55
250,-3.69,-1.31,-1.87
260,-3.71,-0.84,-2.21
270,-3.92,-0.21,-2.41
280,-4.36,0.63,-2.37
290,-5.0,1.82,-2.18
300,-5.51,3.64,-2.2
310,-5.41,5.07,-2.48
320,-4.53,6.09,-2.53
330,-3.09,6.67,-1.95
340,-1.77,6.92,-1.36
350,-0.49,7.35,-0.31
360,0.33,7.63,1.02
370,0.66,7.92,1.49
380,-0.2,8.43,1.78
390,-0.79,10.41,2.06
400,-0.51,11.78,2.93
410,1.04,12.29,5.02
420,3.72,11.65,7.82
430,6.02,10.42,10.35
440,6.82,10.47,12.01
450,6.48,10.82,13.37
460,7.38,13.49,15.21
470,10.11,14.14,14.95
480,14.37,11.22,16.23
490,20.79,10.44,19.69
500,25.39,8.37,22.22
510,28.51,6.4,23.83
520,30.6,4.72,25.13
530,31.17,2.68,25.93
540,31.79,1.65,25.87
550,31.84,-1.02,23.7
560,32.73,-1.89,21.88
570,32.65,-3.48,18.39
580,31.68,-5.49,14.31
590,29.77,-6.58,11.73
600,26.81,-6.87,11.38
610,24.48,-6.5,13.47
620,22.86,-6.04,16.67
630,21.68,-5.49,18.48
640,20.49,-4.79,18.1
650,19.42,-3.51,16.86
660,19.04,-1.95,15.88
670,19.51,-0.3,15.45
680,20.85,1.27,15.63
690,22.58,2.24,16.05
700,23.87,3.3,16.25
710,24.29,4.96,16.46
720,24.46,7.28,17.13
730,23.98,9.77,16.2
740,23.12,11.83,14.31
750,22.48,12.65,12.92
760,21.59,12.97,12.01
770,19.77,13.37,10.94
780,16.96,14.31,9.91
790,13.33,15.36,8.17
800,9.59,15.81,5.93
810,6.49,15.6,3.66
820,4.1,14.64,1.19
830,2.43,13.01,-1.05
840,1.13,11.26,-2.63
850,0.15,9.68,-3.43
860,-0.44,8.42,-3.58
870,-0.68,7.32,-3.68
880,-0.99,6.2,-4.37
890,-1.48,5.2,-5.05
900,-2.04,4.41,-5.68
910,-2.57,3.54,-6.26
920,-2.92,2.77,-6.73
930,-3.13,2.01,-7.01
940,-3.23,1.16,-6.94
950,-3.41,0.11,-6.59
960,-3.57,-0.15,-6.67
970,-3.63,-0.62,-7.21
980,-3.48,-1.53,-7.51
990,-2.92,-2.6,-7.17
1000,-2.31,-3.44,-5.99
