timestamp,x,y,z
0,-2.31,5.94,-6.38
10,-2.54,6.7,-6.29
20,-3.39,7.45,-5.22
30,-3.85,9.03,-3.26
40,-3.74,11.64,-0.32
50,-4.17,13.21,2.76
60,-4.75,12.65,5.5
70,-4.14,17.35,8.23
80,-3.79,18.1,10.03
90,-4.12,15.16,13.45
100,-3.66,14.94,19.68
110,-3.26,16.16,26.52
120,-2.49,17.71,30.88
130,-2.06,16.32,32.32
140,-1.09,14.29,33.68
150,0.3,14.57,37.77
160,1.7,13.29,43.14
170,1.9,9.59,45.03
180,1.53,8.5,42.77
190,1.0,10.28,39.37
200,2.14,13.34,36.97
210,5.99,14.47,35.7
220,11.14,13.0,35.18
230,16.29,9.37,35.31
240,19.5,6.22,34.91
250,20.31,4.23,33.6
260,18.69,4.2,31.78
270,15.16,4.87,29.04
280,11.47,5.56,26.03
290,8.43,6.42,24.7
300,6.01,7.6,25.52
310,4.15,9.68,26.43
320,3.19,12.16,26.18
330,3.7,14.64,25.95
340,5.36,15.91,26.57
350,7.19,15.84,26.72
360,8.19,16.61,26.87
370,8.19,17.82,26.56
380,7.4,19.14,25.74
390,5.99,20.01,24.7
400,4.32,20.78,23.68
410,2.61,22.06,22.61
420,1.02,23.58,21.23
430,-0.4,24.48,19.39
440,-1.59,24.76,17.18
450,-2.39,24.78,14.5
460,-3.0,24.12,11.31
470,-3.3,22.38,7.9
480,-3.31,20.62,5.11
490,-3.37,18.81,3.05
500,-3.43,17.72,1.54
510,-3.39,16.87,0.09
520,-2.94,15.64,-1.67
530,-2.14,13.89,-3.7
540,-1.05,11.44,-5.46
550,-0.14,8.67,-6.7
560,0.48,6.59,-7.2
570,0.83,5.23,-7.33
580,0.93,4.0,-7.62
590,0.62,3.34,-7.96
600,0.16,3.42,-8.2
610,-0.09,3.29,-8.47
620,0.06,2.87,-8.5
630,0.73,1.78,-8.04
640,1.59,0.46,-6.98
650,2.26,-0.83,-5.45
660,2.71,-1.67,-3.87
670,3.01,-2.46,-3.04
680,2.91,-3.83,-3.1
690,2.57,-4.38,-3.5
700,2.07,-4.43,-3.93
710,1.65,-4.7,-4.06
720,1.32,-5.13,-3.8
730,1.17,-5.67,-3.01
740,1.1,-6.22,-1.78
750,1.01,-6.78,-0.36
760,0.88,-7.11,1.14
770,0.79,-7.28,2.12
780,0.78,-7.54,2.69
790,0.8,-7.86,2.89
800,0.83,-8.1,2.78
810,0.85,-8.25,2.61
820,0.82,-8.59,2.49
830,0.68,-8.85,2.48
840,0.45,-8.93,2.52
850,0.25,-8.97,2.69
860,0.11,-8.93,3.01
870,0.09,-8.93,3.42
880,0.19,-9.06,3.8
890,0.34,-9.22,4.18
900,0.55,-9.21,4.7
910,0.79,-9.12,5.26
920,0.86,-8.98,5.83
930,1.17,-8.65,6.17
940,1.4,-8.75,6.27
950,1.52,-8.98,6.11
960,1.47,-8.99,5.71
970,1.24,-9.0,5.13
980,1.04,-8.68,4.71
990,0.94,-8.28,4.72
1000,0.99,-8.04,5.0
