timestamp,x,y,z
0,-1.15,-4.97,8.44
10,-1.35,-5.0,8.26
20,-1.71,-5.02,8.14
30,-2.26,-4.88,8.07
40,-2.83,-4.6,8.01
50,-3.33,-4.36,7.91
60,-3.79,-4.35,7.74
70,-4.24,-4.57,7.64
80,-4.82,-4.83,7.91
90,-5.71,-4.99,8.4
100,-6.79,-4.86,9.1
110,-7.85,-4.17,9.92
120,-8.79,-2.81,10.83
130,-9.41,-1.61,11.8
140,-9.14,-0.56,12.21
150,-8.67,0.12,12.46
160,-7.98,0.25,12.38
170,-7.05,0.3,12.18
180,-6.08,0.56,11.84
190,-5.13,1.1,11.32
200,-4.09,1.74,10.56
210,-2.89,2.29,9.64
220,-1.61,2.56,8.79
230,-0.57,2.7,8.01
240,0.29,2.87,7.26
250,1.19,3.37,6.85
260,2.39,4.23,6.96
270,4.08,4.9,7.5
280,6.23,5.32,8.49
290,8.95,5.36,9.87
300,12.33,4.89,11.37
310,15.75,3.5,12.51
320,17.97,1.57,12.58
330,18.61,0.54,11.11
340,17.89,0.86,8.77
350,16.6,1.38,6.86
360,15.45,1.67,5.84
370,14.89,1.45,5.67
380,14.93,0.62,6.22
390,15.39,-0.21,7.18
400,15.77,-1.08,7.96
410,15.78,-1.71,8.22
420,15.33,-1.98,7.87
430,14.51,-2.0,7.02
440,13.56,-1.92,5.97
450,12.71,-1.81,5.02
460,12.2,-1.91,4.35
470,11.91,-2.17,3.95
480,11.8,-2.35,3.92
490,11.53,-2.36,4.21
500,11.31,-1.95,4.93
510,11.19,-1.34,6.02
520,11.31,-0.81,7.41
530,11.47,-0.38,8.77
540,11.52,0.01,9.45
550,11.47,0.35,9.38
560,11.37,0.38,8.81
570,11.19,0.79,8.19
580,10.99,1.26,7.61
590,10.87,1.58,7.08
600,10.81,1.61,6.51
610,10.56,1.64,6.32
620,9.82,2.01,6.32
630,8.76,2.43,6.42
640,7.69,2.82,6.81
650,6.84,2.97,7.56
660,6.18,2.72,8.72
670,5.67,2.49,10.21
680,5.21,2.54,11.8
690,4.28,2.21,13.04
700,2.58,1.65,13.94
710,0.23,1.44,14.72
720,-2.48,2.2,15.49
730,-6.19,2.89,16.72
740,-8.59,3.55,16.85
750,-10.0,4.65,17.06
760,-10.79,4.49,17.35
770,-10.73,3.13,17.42
780,-9.85,1.48,16.97
790,-8.69,-0.17,15.83
800,-7.59,-1.62,14.28
810,-6.63,-2.95,12.78
820,-5.77,-3.7,11.6
830,-4.95,-4.48,10.72
840,-4.54,-5.21,10.13
850,-4.48,-5.08,9.83
860,-4.85,-4.75,9.42
870,-5.5,-4.28,9.03
880,-6.1,-3.94,8.66
890,-6.54,-3.66,8.39
900,-6.58,-3.46,8.11
910,-6.27,-3.52,7.9
920,-5.52,-3.68,7.93
930,-4.63,-3.84,8.16
940,-3.77,-4.01,8.41
950,-2.99,-4.12,8.6
960,-2.41,-4.12,8.75
970,-2.06,-4.19,8.82
980,-1.89,-4.02,8.77
990,-1.88,-3.7,8.7
1000,-1.98,-3.53,8.71
