timestamp,x,y,z
0,1.28,11.1,8.71
10,1.54,12.69,9.66
20,1.93,14.59,11.27
30,2.38,16.07,12.73
40,2.82,16.41,13.29
50,3.07,14.6,12.4
60,3.16,11.44,10.93
70,3.49,8.41,9.79
80,3.5,5.77,8.78
90,3.61,3.06,8.17
100,3.9,0.55,8.01
110,4.16,-1.82,8.12
120,4.27,-3.74,8.23
130,4.17,-5.66,8.47
140,4.06,-6.77,8.46
150,4.17,-8.23,9.96
160,3.89,-9.59,10.81
170,3.62,-10.95,10.61
180,3.21,-12.0,9.87
190,2.69,-12.79,8.71
200,2.21,-13.29,7.8
210,1.87,-13.4,7.34
220,1.73,-13.45,7.32
230,1.8,-13.59,7.43
240,1.62,-13.41,7.47
250,1.65,-12.44,7.59
260,1.85,-11.01,8.06
270,2.06,-9.68,8.43
280,2.23,-8.5,8.04
290,2.51,-8.39,8.18
300,3.0,-8.92,8.47
310,3.59,-9.49,8.58
320,4.01,-10.26,8.55
330,4.47,-11.12,8.55
340,5.15,-11.84,8.66
350,6.03,-12.03,8.94
360,7.11,-11.5,9.5
370,8.0,-9.47,10.24
380,8.83,-5.96,11.56
390,9.55,-1.75,13.11
400,9.76,2.63,14.2
410,9.34,6.2,14.5
420,8.81,8.74,13.96
430,7.91,10.39,13.11
440,7.17,11.7,12.56
450,6.4,12.82,12.32
460,5.39,13.93,12.09
470,4.68,15.06,11.79
480,4.02,15.89,11.44
490,3.53,15.92,11.31
500,3.39,15.41,11.43
510,3.34,14.58,11.7
520,3.26,13.62,11.68
530,3.23,13.3,11.39
540,3.33,13.44,11.23
550,3.47,13.96,11.31
560,4.01,14.43,11.14
570,4.53,14.37,10.34
580,4.97,13.4,9.46
590,5.48,11.62,8.95
600,5.94,9.7,9.06
610,6.44,8.23,9.45
620,6.76,7.03,9.54
630,6.95,4.91,9.24
640,6.79,3.09,8.62
650,8.13,2.48,8.09
660,7.88,-0.2,9.73
670,8.27,-3.82,10.87
680,8.67,-6.08,11.26
690,8.52,-8.78,11.62
700,8.51,-11.94,12.33
710,8.25,-14.07,13.12
720,7.69,-15.11,13.34
730,7.2,-15.5,13.31
740,6.82,-15.19,13.66
750,6.43,-13.97,14.6
760,5.83,-12.38,15.31
770,5.37,-10.85,15.63
780,4.99,-9.73,15.29
790,4.38,-9.48,14.59
800,3.73,-9.42,13.71
810,3.15,-9.23,12.4
820,2.55,-8.91,10.66
830,2.15,-8.54,9.45
840,1.8,-8.08,8.7
850,1.65,-7.53,8.49
860,1.69,-6.75,8.77
870,1.77,-5.63,9.39
880,1.85,-4.17,10.2
890,2.03,-2.74,10.88
900,2.16,-1.74,11.37
910,2.18,-0.95,11.66
920,2.07,-0.3,11.82
930,1.95,0.09,11.6
940,1.7,0.04,11.0
950,1.52,-0.27,10.06
960,1.55,-0.96,9.11
970,1.6,-1.75,8.17
980,1.61,-2.09,7.49
990,1.65,-1.8,7.28
1000,1.61,-0.57,7.75
