timestamp,x,y,z
0,1.9,-2.4,8.31
10,1.88,-3.47,7.4
20,2.07,-5.99,7.17
30,2.26,-8.85,7.75
40,2.41,-11.12,8.54
50,2.33,-12.45,9.15
60,2.35,-12.42,9.44
70,2.26,-11.85,9.26
80,2.22,-11.22,9.05
90,2.31,-10.51,8.75
100,2.36,-10.45,8.28
110,2.39,-10.84,7.97
120,2.47,-11.42,8.22
130,2.63,-11.79,9.06
140,3.01,-11.85,9.77
150,3.35,-11.65,10.08
160,3.83,-11.01,10.06
170,4.27,-10.41,10.28
180,4.87,-8.93,11.33
190,5.33,-6.46,12.5
200,5.46,-3.93,13.03
210,5.29,-1.67,12.82
220,4.95,0.13,12.37
230,4.41,1.62,11.71
240,3.98,2.43,10.98
250,3.52,2.72,10.24
260,3.26,3.13,9.87
270,3.25,3.83,9.91
280,3.29,4.73,10.52
290,3.32,5.81,11.23
300,3.36,6.91,11.76
310,3.06,8.0,12.19
320,2.78,8.93,12.34
330,2.44,9.45,11.96
340,2.07,9.29,11.4
350,1.95,8.79,11.25
360,1.97,8.41,11.35
370,2.0,8.32,11.52
380,2.02,8.33,11.74
390,1.9,8.23,11.71
400,1.75,8.39,11.61
410,1.71,9.09,11.58
420,1.64,9.14,11.36
430,1.62,8.22,10.76
440,1.54,6.83,9.88
450,1.41,5.48,9.15
460,1.56,4.53,8.7
470,1.65,3.67,8.59
480,1.79,3.01,8.82
490,2.02,2.51,9.09
500,2.37,2.04,9.41
510,2.38,1.89,9.44
520,2.92,1.82,10.05
530,3.1,1.61,10.3
540,3.6,0.63,10.54
550,3.9,-0.14,10.58
560,3.98,-0.96,10.84
570,4.23,-1.95,11.81
580,4.41,-2.84,12.8
590,4.41,-3.44,13.17
600,4.25,-3.45,12.9
610,3.83,-2.96,11.99
620,3.59,-2.41,11.3
630,3.17,-2.18,10.33
640,2.89,-2.52,9.37
650,2.67,-2.75,8.73
660,2.7,-3.1,8.38
670,2.66,-3.63,8.08
680,2.74,-4.11,8.3
690,2.84,-4.33,8.63
700,2.98,-4.69,8.73
710,3.05,-5.33,8.55
720,3.1,-6.24,8.19
730,2.97,-7.23,7.9
740,2.85,-8.18,7.94
750,2.88,-8.9,8.29
760,3.02,-9.27,8.75
770,3.19,-9.3,9.09
780,3.33,-9.26,9.19
790,3.42,-9.26,8.86
800,3.43,-9.22,8.57
810,3.61,-9.05,8.48
820,3.74,-8.85,8.46
830,3.93,-8.82,8.41
840,4.11,-8.89,8.47
850,4.32,-8.65,8.98
860,4.8,-7.63,9.71
870,5.25,-6.41,10.28
880,5.5,-5.06,10.69
890,5.77,-3.5,10.91
900,5.95,-2.15,10.95
910,5.88,-0.84,10.86
920,5.84,0.17,10.7
930,5.71,1.46,11.16
940,5.87,3.1,11.86
950,5.59,4.46,12.07
960,5.15,5.04,11.47
970,4.77,5.1,10.76
980,4.38,4.88,10.26
990,4.27,4.51,10.14
1000,4.2,4.56,10.24
