timestamp,x,y,z
0,1.8,-3.6,10.03
10,1.17,-3.45,8.94
20,0.33,-2.99,8.46
30,0.1,-2.45,9.28
40,0.52,-2.67,10.55
50,1.14,-3.41,11.15
60,1.45,-3.95,10.71
70,1.53,-3.93,9.15
80,1.12,-4.09,6.68
90,0.39,-3.77,4.49
100,-0.34,-3.41,3.51
110,-0.82,-3.5,3.69
120,-0.97,-3.82,4.51
130,-0.81,-4.16,5.67
140,-0.48,-4.54,6.77
150,-0.21,-4.87,7.53
160,-0.2,-5.04,7.68
170,-0.52,-5.0,7.25
180,-1.03,-4.84,6.62
190,-1.51,-4.74,6.28
200,-1.94,-4.73,6.45
210,-2.33,-4.63,7.22
220,-2.81,-4.39,7.95
230,-3.79,-4.25,7.74
240,-5.45,-3.79,7.11
250,-7.45,-3.03,7.29
260,-9.51,-2.16,8.62
270,-11.0,-1.19,10.44
280,-12.15,-0.3,12.15
290,-12.88,0.55,12.97
300,-13.05,1.42,12.89
310,-12.77,1.94,12.05
320,-12.22,2.28,10.97
330,-11.45,2.68,10.39
340,-10.44,2.99,10.77
350,-9.12,3.21,11.58
360,-7.79,3.25,11.82
370,-6.51,3.52,11.18
380,-5.39,3.72,10.07
390,-4.48,4.24,9.13
400,-3.66,4.91,8.83
410,-2.6,5.53,9.46
420,-1.31,5.73,10.34
430,0.06,5.59,10.83
440,1.43,5.27,10.6
450,2.64,4.13,9.77
460,3.87,4.05,8.47
470,4.82,3.91,6.53
480,5.92,2.66,5.38
490,7.63,1.59,5.15
500,9.32,2.8,5.16
510,11.15,4.26,4.55
520,13.63,4.75,4.74
530,15.76,3.85,6.42
540,17.09,2.36,8.29
550,17.36,1.12,9.95
560,16.46,1.53,11.69
570,15.12,3.69,13.77
580,14.14,5.18,15.73
590,13.53,5.86,16.97
600,13.12,6.15,16.61
610,12.72,6.49,15.68
620,12.54,6.59,15.81
630,13.16,6.54,16.93
640,14.43,5.77,17.99
650,15.29,4.67,18.14
660,15.4,4.66,17.57
670,14.41,4.58,16.03
680,12.57,4.61,14.0
690,10.11,2.63,11.37
700,6.61,0.02,9.91
710,4.27,7.35,14.99
720,4.39,9.74,19.11
730,5.62,6.3,18.32
740,5.12,3.99,13.55
750,3.21,5.5,8.28
760,0.68,7.87,4.43
770,-1.78,9.14,1.8
780,-3.42,8.97,0.26
790,-4.43,7.17,-0.24
800,-4.09,5.54,0.93
810,-3.17,3.14,2.53
820,-2.64,1.57,3.83
830,-3.19,1.28,4.21
840,-4.63,2.03,3.64
850,-6.45,3.08,2.36
860,-8.2,4.11,0.62
870,-9.69,4.83,-1.27
880,-10.93,4.53,-2.4
890,-12.05,3.9,-1.34
900,-12.6,4.15,2.49
910,-15.22,4.88,10.24
920,-16.75,5.56,16.14
930,-17.56,6.38,19.53
940,-18.18,7.08,20.31
950,-18.29,7.11,18.62
960,-17.76,6.46,16.21
970,-16.8,5.87,14.77
980,-15.71,5.41,14.71
990,-14.68,5.24,15.59
1000,-14.0,5.19,16.32
