timestamp,x,y,z
0,0.87,-6.07,6.58
10,0.93,-6.34,6.83
20,1.0,-6.48,7.14
30,0.99,-6.51,7.4
40,0.95,-6.46,7.54
50,0.97,-6.29,7.41
60,1.01,-6.23,7.15
70,1.02,-6.08,6.71
80,1.19,-6.01,6.22
90,1.41,-6.09,5.64
100,1.59,-6.09,5.05
110,1.81,-6.02,4.72
120,1.98,-6.0,4.81
130,2.22,-6.08,5.62
140,2.43,-5.97,6.68
150,2.32,-6.01,7.6
160,2.19,-5.88,8.47
170,2.1,-5.84,9.18
180,1.82,-5.83,9.44
190,1.08,-5.55,9.3
200,-0.08,-4.81,9.18
210,-1.45,-4.06,9.39
220,-2.85,-3.56,9.73
230,-4.36,-3.21,10.18
240,-6.01,-2.81,10.99
250,-7.9,-2.28,12.26
260,-9.99,-1.58,13.66
270,-11.97,-0.84,15.06
280,-13.59,0.46,16.37
290,-14.63,1.82,17.09
300,-14.83,2.95,17.17
310,-14.15,3.79,16.82
320,-12.78,3.86,16.07
330,-11.31,3.86,14.65
340,-10.21,4.44,13.0
350,-9.23,5.42,11.5
360,-8.02,6.2,10.42
370,-6.51,6.76,9.88
380,-4.64,7.05,9.78
390,-2.62,7.18,10.07
400,-0.59,7.03,10.36
410,1.13,6.55,10.54
420,2.3,6.16,10.61
430,2.84,5.98,10.81
440,3.0,6.18,11.22
450,3.66,7.12,12.03
460,5.72,7.47,13.03
470,8.47,6.79,13.14
480,11.33,5.7,12.68
490,13.62,3.71,11.82
500,14.41,2.35,11.04
510,14.16,2.56,10.3
520,14.06,3.85,9.88
530,14.9,3.96,9.83
540,16.27,3.3,9.9
550,17.42,2.51,9.82
560,17.83,2.07,9.65
570,17.65,1.74,9.63
580,17.06,1.74,9.64
590,16.25,2.19,10.06
600,15.42,2.74,11.05
610,14.59,3.47,11.82
620,13.82,3.92,11.82
630,13.1,4.23,11.2
640,12.27,4.42,10.64
650,11.3,4.74,10.87
660,9.95,5.7,10.75
670,8.45,6.66,11.2
680,7.01,7.21,11.52
690,5.76,7.6,11.78
700,4.72,8.1,11.97
710,4.07,8.66,12.59
720,4.01,8.81,13.4
730,4.14,8.21,13.71
740,4.02,7.86,13.01
750,3.45,8.08,11.51
760,2.41,7.87,9.49
770,0.92,5.0,6.08
780,-1.58,7.66,7.17
790,-1.17,8.51,11.78
800,-2.53,6.87,12.41
810,-5.97,7.36,9.32
820,-9.73,7.65,5.85
830,-12.99,7.76,3.84
840,-15.44,7.9,3.72
850,-16.84,7.22,5.6
860,-15.74,5.66,7.4
870,-14.37,3.9,8.49
880,-13.41,2.85,8.29
890,-12.84,2.46,7.15
900,-12.58,2.58,6.05
910,-12.84,2.89,5.61
920,-13.53,3.58,5.64
930,-14.28,4.33,6.14
940,-14.88,5.05,7.42
950,-15.65,6.39,9.55
960,-15.9,8.12,12.83
970,-15.08,8.99,16.91
980,-13.64,9.21,20.54
990,-12.02,8.55,22.36
1000,-10.51,7.4,22.15
