timestamp,x,y,z
0,-3.42,-3.72,10.12
10,-3.69,-3.55,10.01
20,-3.99,-3.2,9.92
30,-4.3,-2.65,9.77
40,-4.35,-1.84,9.54
50,-4.14,-1.11,9.22
60,-3.63,-0.66,8.86
70,-2.81,-0.56,8.69
80,-1.89,-0.62,8.66
90,-0.99,-0.79,8.7
100,-0.22,-0.96,8.89
110,0.48,-0.77,9.27
120,1.23,-0.08,9.54
130,2.04,0.51,9.62
140,2.89,0.85,9.49
150,3.98,1.08,9.42
160,5.37,1.34,9.58
170,7.03,1.53,9.83
180,8.9,1.46,10.16
190,10.65,0.97,10.29
200,12.08,0.04,10.01
210,12.88,-0.96,9.36
220,13.16,-1.52,8.47
230,13.2,-1.66,7.79
240,13.22,-1.8,7.82
250,13.14,-2.08,8.18
260,13.06,-2.5,8.4
270,12.88,-2.96,8.42
280,12.57,-3.33,8.24
290,11.99,-3.54,7.81
300,11.19,-3.7,7.27
310,10.21,-3.66,6.65
320,9.21,-3.4,6.03
330,8.28,-3.37,5.59
340,7.5,-3.5,5.42
350,6.94,-3.52,5.54
360,6.6,-3.47,5.87
370,6.43,-3.42,6.35
380,6.42,-3.45,6.85
390,6.45,-3.52,7.18
400,6.41,-3.53,7.34
410,6.29,-3.48,7.36
420,6.16,-3.14,7.41
430,6.12,-2.62,7.47
440,6.27,-2.2,7.46
450,6.75,-1.72,7.46
460,7.52,-1.29,7.59
470,8.43,-0.97,7.84
480,9.51,-0.83,8.1
490,10.46,-0.79,8.45
500,10.99,-0.88,8.52
510,10.95,-0.77,8.2
520,10.47,-0.41,7.63
530,9.64,-0.08,7.08
540,8.66,0.15,6.69
550,7.51,0.28,6.38
560,6.45,0.6,6.34
570,5.48,0.91,6.81
580,4.64,1.02,7.76
590,3.92,1.1,9.09
600,3.19,1.29,10.43
610,2.43,1.31,11.62
620,1.5,0.86,12.57
630,0.44,0.01,13.17
640,-0.93,-0.72,13.5
650,-2.57,-0.89,13.73
660,-4.35,-0.62,13.81
670,-5.99,-0.0,13.93
680,-6.83,0.5,13.81
690,-6.99,0.34,13.69
700,-6.42,-0.34,13.65
710,-5.19,-1.46,13.62
720,-3.82,-2.77,13.41
730,-2.66,-3.73,12.9
740,-1.83,-4.19,12.18
750,-1.25,-4.36,11.36
760,-0.97,-4.45,10.56
770,-0.87,-4.42,9.93
780,-0.88,-4.51,9.52
790,-1.08,-4.69,9.32
800,-1.46,-4.63,9.31
810,-1.9,-4.25,9.58
820,-2.26,-3.79,9.98
830,-2.42,-3.44,10.44
840,-2.36,-3.23,10.92
850,-2.05,-3.22,11.2
860,-1.63,-3.39,11.04
870,-1.13,-3.52,10.52
880,-0.71,-3.71,9.86
890,-0.38,-3.9,9.23
900,-0.19,-4.0,8.63
910,-0.17,-3.98,8.18
920,-0.25,-3.77,7.89
930,-0.28,-3.54,7.7
940,-0.27,-3.4,7.68
950,-0.17,-3.42,7.83
960,-0.04,-3.42,8.08
970,0.08,-3.49,8.35
980,0.08,-3.63,8.56
990,-0.06,-3.58,8.68
1000,-0.33,-3.35,8.7
