timestamp,x,y,z
0,1.84,-5.39,7.43
10,1.64,-5.1,7.24
20,1.47,-4.91,7.28
30,1.35,-4.84,7.53
40,1.23,-4.89,7.74
50,1.06,-5.04,7.82
60,0.74,-5.34,7.72
70,0.11,-5.54,7.52
80,-0.91,-5.54,7.29
90,-2.4,-5.2,7.14
100,-4.59,-4.32,7.34
110,-5.45,-4.73,7.01
120,-6.24,-4.64,7.61
130,-7.58,-4.27,8.49
140,-8.71,-4.12,9.12
150,-9.5,-3.42,9.78
160,-10.39,-2.52,10.8
170,-10.87,-1.69,11.27
180,-11.38,-1.02,10.76
190,-11.84,-0.43,8.91
200,-11.82,0.94,6.87
210,-11.42,2.15,5.13
220,-10.41,2.44,4.29
230,-8.68,2.53,4.6
240,-6.66,2.57,5.71
250,-4.48,2.94,7.18
260,-2.14,3.24,8.82
270,0.43,3.59,10.62
280,3.08,3.79,12.25
290,5.75,3.74,13.09
300,8.31,3.68,13.19
310,10.64,3.36,12.8
320,12.3,2.33,12.17
330,13.2,0.54,10.83
340,13.47,-1.12,9.08
350,13.14,-1.66,8.17
360,12.62,-1.27,8.48
370,12.36,-0.88,9.44
380,12.3,-0.49,10.34
390,12.23,-0.47,10.67
400,12.16,-0.38,10.56
410,12.28,-0.11,10.29
420,12.57,-0.22,10.26
430,12.99,-0.8,10.58
440,13.42,-1.28,11.02
450,13.73,-1.53,11.04
460,13.7,-1.72,10.52
470,13.46,-1.65,9.54
480,13.08,-1.69,8.54
490,12.8,-1.75,8.06
500,12.8,-1.38,8.61
510,13.18,-0.9,9.85
520,13.63,-0.73,10.96
530,14.03,-0.3,11.42
540,14.14,-0.02,11.27
550,13.78,0.17,10.7
560,12.93,0.24,9.75
570,11.5,0.79,8.96
580,9.65,1.32,8.36
590,7.61,1.87,8.02
600,5.66,2.5,8.24
610,4.18,3.22,8.97
620,3.06,3.41,10.2
630,1.91,2.67,11.65
640,0.37,1.59,13.02
650,-1.81,0.51,13.86
660,-4.73,0.26,13.9
670,-7.97,1.01,13.41
680,-10.42,2.43,13.02
690,-11.48,3.27,13.2
700,-10.45,2.29,14.16
710,-8.13,-0.14,14.96
720,-6.04,-3.08,14.69
730,-5.27,-5.19,13.32
740,-5.94,-5.47,11.25
750,-7.3,-4.3,9.3
760,-8.04,-3.22,8.56
770,-7.9,-3.02,8.78
780,-7.01,-3.46,9.01
790,-5.85,-3.95,8.92
800,-4.73,-4.43,8.9
810,-3.81,-4.71,9.3
820,-3.27,-4.7,9.64
830,-3.02,-4.37,9.57
840,-2.74,-3.97,9.14
850,-2.27,-3.8,8.73
860,-1.53,-3.81,8.52
870,-0.76,-3.99,8.49
880,-0.17,-4.13,8.58
890,0.18,-4.13,8.77
900,0.31,-4.01,9.15
910,0.13,-4.11,9.39
920,-0.52,-4.25,9.22
930,-1.61,-4.2,8.77
940,-2.77,-3.82,8.46
950,-3.67,-3.2,8.57
960,-4.34,-2.67,9.03
970,-5.01,-2.42,9.47
980,-5.83,-2.4,9.52
990,-6.75,-2.61,9.46
1000,-7.78,-2.69,9.33
