timestamp,x,y,z
0,5.71,3.94,5.42
10,5.73,3.15,4.33
20,5.72,3.38,3.8
30,5.63,3.88,2.87
40,5.75,4.26,1.64
50,5.96,3.98,0.71
60,6.29,2.96,0.73
70,6.56,1.3,1.95
80,7.18,-1.53,3.09
90,7.33,-4.97,3.88
100,7.34,-8.13,4.85
110,7.28,-10.31,5.97
120,7.39,-10.94,7.41
130,7.38,-10.32,9.64
140,7.35,-7.27,11.57
150,6.86,-5.1,13.43
160,6.74,-5.12,15.01
170,6.56,-5.19,15.54
180,6.1,-5.19,15.37
190,5.99,-5.19,15.92
200,5.15,-4.2,17.99
210,4.71,-3.78,20.67
220,4.27,-3.37,22.26
230,4.13,-2.68,22.61
240,4.36,-1.76,21.75
250,4.84,-0.06,20.82
260,5.0,2.12,18.86
270,4.88,4.21,17.21
280,4.72,5.59,16.06
290,4.29,5.77,15.32
300,3.98,4.7,15.5
310,3.69,2.93,16.28
320,3.92,1.49,16.97
330,3.95,0.32,16.64
340,4.44,-0.58,15.92
350,5.03,-0.94,14.55
360,5.39,-0.04,13.06
370,5.47,1.39,12.09
380,5.26,2.81,11.28
390,4.84,4.42,10.86
400,4.53,5.49,10.72
410,4.37,6.36,10.41
420,4.57,7.13,9.75
430,4.74,8.97,9.77
440,5.06,9.11,9.41
450,5.49,7.83,8.38
460,5.58,7.04,7.31
470,5.29,7.38,6.88
480,4.92,8.44,6.79
490,4.61,9.59,6.43
500,4.4,10.57,5.73
510,4.47,11.21,5.19
520,4.52,11.27,5.11
530,4.72,10.53,5.32
540,5.03,8.95,5.38
550,5.53,7.11,4.69
560,5.76,5.28,3.94
570,6.06,3.43,3.63
580,6.5,1.97,3.51
590,6.6,1.42,3.69
600,6.5,1.74,4.08
610,6.94,1.7,4.1
620,7.62,0.49,4.24
630,8.35,-1.84,4.6
640,8.9,-5.14,5.2
650,9.68,-9.32,6.41
660,10.07,-12.86,7.61
670,10.11,-14.48,9.23
680,10.4,-14.36,12.05
690,10.59,-12.15,15.31
700,9.86,-9.82,18.73
710,9.37,-7.9,21.6
720,8.72,-6.29,22.36
730,7.27,-6.26,21.95
740,6.88,-5.23,21.28
750,6.19,-4.59,20.83
760,5.91,-4.03,20.02
770,5.65,-2.45,19.03
780,5.44,-0.74,18.03
790,5.05,0.72,17.88
800,4.75,3.23,18.36
810,3.91,5.79,18.61
820,3.33,6.26,18.11
830,3.02,5.27,17.1
840,2.72,3.51,16.34
850,2.66,1.69,15.47
860,2.86,1.05,14.65
870,3.01,1.37,13.83
880,3.39,2.35,13.28
890,3.57,3.74,12.8
900,3.47,5.26,12.18
910,3.34,6.95,11.98
920,2.99,8.87,11.67
930,3.06,10.47,11.08
940,3.4,11.65,10.17
950,3.9,12.3,8.84
960,4.13,12.48,7.33
970,4.32,11.9,5.84
980,4.57,10.92,4.81
990,4.91,9.96,4.82
1000,5.04,9.27,4.92
