timestamp,x,y,z
0,4.03,7.65,5.42
10,4.52,6.52,5.45
20,5.23,4.6,5.79
30,5.55,1.76,6.21
40,5.94,-1.54,6.57
50,6.43,-4.03,6.33
60,5.97,-6.18,5.39
70,5.75,-8.37,4.24
80,5.45,-10.34,3.41
90,5.01,-11.46,2.94
100,5.83,-12.53,2.69
110,6.68,-13.22,2.55
120,7.59,-14.07,2.46
130,8.84,-14.78,3.4
140,10.04,-15.12,5.22
150,9.94,-13.77,9.5
160,9.74,-11.24,15.85
170,9.86,-8.33,21.24
180,9.02,-5.43,24.71
190,8.05,-3.01,26.09
200,7.21,-2.51,25.46
210,6.8,-2.99,22.98
220,6.75,-3.14,19.92
230,6.84,-2.61,17.49
240,6.81,-1.59,16.35
250,6.72,0.01,15.83
260,6.62,2.49,15.31
270,6.14,5.35,14.97
280,5.23,9.58,14.11
290,4.26,14.63,12.23
300,6.57,11.73,15.03
310,7.81,5.77,17.94
320,8.06,4.51,17.29
330,8.54,5.69,15.59
340,8.92,6.36,14.02
350,9.56,7.03,12.01
360,10.3,7.64,9.7
370,10.74,7.16,6.59
380,9.89,6.71,2.83
390,8.18,6.96,0.02
400,8.0,7.81,0.29
410,8.49,8.14,2.46
420,8.96,7.51,4.07
430,10.23,5.58,5.29
440,10.48,2.99,5.39
450,10.55,-0.29,4.3
460,10.16,-5.31,3.53
470,9.18,-10.57,3.41
480,7.76,-13.65,3.44
490,6.61,-16.38,2.37
500,6.31,-17.64,0.75
510,6.66,-16.49,-0.01
520,7.87,-14.47,-0.55
530,9.61,-11.93,-0.3
540,11.1,-10.42,1.26
550,12.56,-10.39,4.92
560,13.5,-10.92,9.99
570,13.14,-10.43,16.12
580,11.61,-9.23,21.69
590,10.3,-7.7,25.12
600,9.13,-6.46,26.12
610,7.88,-6.33,24.62
620,7.36,-6.97,21.54
630,7.12,-7.14,18.89
640,6.85,-6.0,18.05
650,6.96,-4.04,18.41
660,6.9,-1.71,18.27
670,6.54,0.37,17.17
680,6.47,1.28,15.12
690,6.11,1.81,13.23
700,4.98,6.63,10.69
710,6.59,4.17,12.23
720,6.76,2.38,12.28
730,7.78,0.0,13.09
740,8.32,-0.84,14.2
750,7.91,1.99,13.58
760,8.07,3.17,13.74
770,8.14,5.36,14.26
780,8.17,7.01,14.07
790,8.79,7.03,13.42
800,9.5,6.82,12.92
810,9.97,6.69,11.71
820,10.2,6.3,9.28
830,10.09,6.16,5.7
840,9.95,6.84,2.19
850,9.52,6.81,-0.17
860,9.81,5.78,-2.46
870,9.79,3.04,-4.2
880,9.9,0.07,-4.15
890,10.41,-3.37,-2.85
900,9.5,-6.08,-0.72
910,8.77,-9.0,1.86
920,7.67,-13.29,4.26
930,7.18,-16.6,4.46
940,7.02,-18.14,3.09
950,8.12,-19.61,1.85
960,9.16,-19.79,2.15
970,10.32,-19.29,4.52
980,11.48,-18.25,8.35
990,11.37,-16.24,12.04
1000,10.04,-14.09,14.4
