timestamp,x,y,z
0,-1.35,4.04,9.88
10,-1.2,4.39,9.08
20,-1.08,4.82,8.24
30,-0.98,5.58,7.45
40,-0.78,6.23,6.52
50,1.1,0.29,7.12
60,0.31,3.93,9.36
70,-1.71,5.91,4.32
80,-0.49,4.7,1.56
90,1.74,2.55,3.34
100,2.25,1.83,1.57
110,4.51,0.28,10.06
120,0.31,-0.55,-6.44
130,2.24,-1.35,-7.74
140,2.17,-4.32,-3.07
150,3.05,-5.46,-5.79
160,10.08,-14.57,6.65
170,9.58,-16.75,9.3
180,9.37,-16.82,8.1
190,10.91,-16.79,9.83
200,11.87,-15.07,15.95
210,11.72,-10.42,24.07
220,10.85,-2.33,32.2
230,8.03,4.17,34.03
240,7.35,7.12,32.57
250,5.13,8.4,27.94
260,2.66,8.24,23.18
270,2.2,7.56,21.21
280,2.16,7.82,19.46
290,2.29,9.16,16.68
300,2.69,11.39,13.27
310,2.24,14.63,11.23
320,1.73,17.93,11.79
330,2.44,20.08,13.59
340,3.76,19.31,13.01
350,4.69,15.74,9.45
360,5.15,12.05,4.76
370,5.53,9.0,1.12
380,5.64,6.84,-0.65
390,6.14,5.08,-1.44
400,6.72,3.23,-1.48
410,6.81,1.73,-1.39
420,6.81,0.79,0.04
430,7.39,0.2,2.49
440,8.03,-1.24,4.0
450,8.08,-3.31,4.4
460,8.22,-5.31,5.16
470,8.25,-7.41,6.44
480,8.14,-9.46,7.61
490,8.4,-12.27,8.32
500,8.58,-15.62,7.53
510,8.9,-19.02,6.15
520,10.32,-21.34,5.2
530,12.45,-21.33,6.1
540,14.13,-18.56,9.42
550,14.65,-13.88,14.59
560,13.96,-8.73,21.39
570,12.96,-2.7,28.52
580,12.0,3.2,32.97
590,11.03,6.4,32.64
600,10.2,7.51,29.22
610,8.73,9.01,25.1
620,7.94,12.76,21.95
630,7.38,17.36,19.79
640,7.75,20.25,17.62
650,8.48,22.22,14.19
660,8.65,21.86,10.22
670,8.36,10.75,3.12
680,8.32,8.88,1.14
690,9.21,8.83,3.8
700,9.5,6.49,3.6
710,8.98,5.14,1.23
720,10.74,3.25,4.17
730,11.96,0.31,6.66
740,12.82,-3.43,6.69
750,11.4,-8.52,5.04
760,8.72,-11.63,1.64
770,7.2,-13.75,0.61
780,4.34,-13.22,0.56
790,2.37,-11.6,2.66
800,2.4,-10.57,4.67
810,0.93,-10.12,0.16
820,0.63,-7.33,-10.31
830,9.04,-10.93,3.89
840,13.18,-12.77,19.24
850,12.23,-9.38,23.23
860,6.98,-5.83,28.08
870,3.49,-7.67,14.68
880,4.6,-9.6,13.23
890,8.08,-8.78,17.33
900,7.87,-5.55,19.21
910,6.61,1.12,17.91
920,5.33,2.83,16.61
930,4.76,6.05,18.07
940,4.21,8.57,20.75
950,3.33,8.98,21.77
960,3.63,7.43,20.73
970,3.66,5.49,17.66
980,3.45,3.98,15.07
990,3.63,3.1,13.55
1000,3.66,2.9,12.25
