timestamp,x,y,z
0,2.09,-1.76,9.14
10,2.12,-2.28,9.24
20,2.14,-3.2,9.46
30,2.07,-4.76,9.83
40,1.95,-5.9,10.06
50,2.1,-7.08,10.0
60,2.35,-8.08,9.94
70,2.6,-8.2,10.19
80,2.61,-7.2,10.66
90,2.46,-5.42,11.38
100,2.08,-2.98,12.89
110,1.4,0.1,14.63
120,0.45,3.09,15.76
130,0.17,4.66,16.16
140,0.02,5.19,15.61
150,-0.0,6.09,13.77
160,-0.2,7.15,12.59
170,0.06,8.64,13.35
180,0.22,10.6,13.58
190,0.46,12.52,12.33
200,1.1,13.41,10.67
210,2.04,13.6,7.47
220,2.53,13.86,3.34
230,2.8,13.73,0.99
240,3.24,13.05,1.57
250,4.11,12.08,3.31
260,4.99,10.33,5.25
270,6.08,8.76,6.49
280,7.0,7.02,6.52
290,8.13,4.81,6.3
300,8.97,2.77,6.55
310,9.8,1.04,6.32
320,10.11,-1.07,5.55
330,10.62,-3.71,5.13
340,10.75,-5.9,5.06
350,10.34,-7.86,6.06
360,10.21,-10.08,7.59
370,9.94,-11.55,9.64
380,9.53,-11.89,12.93
390,8.77,-11.94,17.51
400,7.72,-11.08,21.63
410,6.63,-9.94,22.72
420,5.96,-9.37,20.77
430,5.43,-9.54,17.58
440,4.96,-10.11,14.93
450,4.58,-10.32,13.63
460,4.41,-9.76,13.75
470,4.63,-8.34,15.95
480,4.12,-4.75,19.08
490,3.94,-1.39,21.65
500,3.23,2.14,24.19
510,2.38,4.62,25.41
520,1.8,5.35,25.06
530,1.4,4.96,23.02
540,1.58,4.62,20.31
550,1.71,4.89,17.94
560,1.72,5.33,16.02
570,1.89,5.89,14.98
580,1.83,6.76,14.21
590,1.83,7.45,13.36
600,1.99,7.59,12.23
610,2.32,7.21,11.14
620,2.55,6.61,10.59
630,2.94,6.52,9.83
640,3.21,6.16,8.21
650,3.55,5.43,6.36
660,3.8,4.51,4.0
670,3.86,3.73,2.18
680,4.05,3.43,1.8
690,4.57,3.5,1.31
700,4.8,4.0,0.11
710,5.27,4.06,-0.12
720,5.83,3.43,1.77
730,6.17,3.01,4.44
740,6.36,2.46,6.47
750,6.52,1.58,7.99
760,6.6,0.42,8.74
770,6.34,-1.27,8.93
780,6.47,-3.68,9.1
790,6.6,-6.1,8.53
800,6.76,-7.41,6.94
810,6.87,-6.76,6.54
820,7.35,-4.92,8.09
830,7.75,-3.67,9.61
840,8.09,-3.66,10.87
850,8.6,-5.49,12.79
860,8.96,-7.66,14.23
870,9.1,-7.87,14.85
880,8.87,-6.83,15.26
890,8.74,-5.18,16.13
900,8.58,-3.61,16.6
910,7.94,-1.72,18.5
920,7.36,-0.46,19.84
930,7.13,-0.91,20.82
940,7.44,0.31,20.36
950,7.57,2.4,19.58
960,7.63,3.85,19.28
970,7.59,4.9,19.89
980,7.4,5.9,19.91
990,7.76,8.19,18.16
1000,7.61,11.2,16.2
