timestamp,x,y,z
0,0.9,-1.84,10.95
10,0.99,-1.08,12.43
20,0.87,-0.3,12.73
30,1.2,0.01,12.0
40,1.78,-0.14,10.8
50,2.19,-0.73,9.1
60,2.68,-1.58,7.18
70,2.99,-2.48,5.91
80,3.01,-3.62,5.21
90,3.0,-4.73,5.54
100,3.22,-5.69,6.37
110,3.57,-6.39,6.57
120,3.98,-7.49,7.07
130,4.6,-8.54,8.78
140,4.57,-8.75,10.73
150,4.7,-8.89,13.14
160,4.75,-8.26,14.63
170,5.15,-7.85,15.02
180,5.02,-6.97,15.29
190,4.68,-5.39,16.4
200,4.45,-3.78,17.22
210,4.46,-1.32,17.42
220,4.34,2.14,17.59
230,3.77,5.67,17.75
240,3.15,8.31,17.78
250,2.41,9.01,17.33
260,2.9,9.03,17.01
270,3.62,8.56,16.54
280,4.18,7.31,15.26
290,5.06,5.49,12.81
300,5.59,4.35,10.49
310,5.4,4.59,9.16
320,5.18,4.77,7.93
330,4.97,4.92,6.48
340,5.02,2.86,5.96
350,4.21,2.95,3.45
360,4.88,0.64,1.64
370,5.99,-2.82,1.64
380,6.14,-6.29,2.44
390,6.24,-9.9,3.01
400,5.69,-12.63,3.3
410,4.72,-13.54,3.15
420,4.01,-13.27,2.88
430,3.86,-13.96,3.2
440,4.36,-13.92,3.24
450,4.5,-12.48,2.99
460,5.65,-11.67,3.48
470,6.82,-10.89,6.48
480,7.1,-8.91,12.2
490,7.4,-5.38,18.58
500,6.69,-1.51,22.21
510,5.5,1.44,22.91
520,4.41,2.87,22.48
530,3.68,2.97,21.39
540,3.13,2.71,20.2
550,2.98,2.97,19.57
560,3.2,3.57,19.12
570,4.16,4.53,18.13
580,5.32,5.26,16.82
590,5.93,4.87,14.65
600,5.91,3.37,12.04
610,5.62,2.07,9.97
620,5.45,1.7,8.71
630,4.8,2.51,7.25
640,4.09,3.84,5.8
650,3.81,3.91,3.98
660,3.64,3.25,2.3
670,3.76,2.18,1.71
680,4.95,-1.05,3.48
690,4.19,-1.06,4.27
700,4.47,-1.72,4.02
710,4.88,-4.33,4.83
720,4.36,-5.37,5.06
730,4.23,-5.59,4.42
740,4.64,-7.32,4.83
750,5.66,-9.51,5.35
760,4.66,-10.53,4.87
770,4.06,-11.52,4.6
780,4.16,-12.88,4.94
790,4.07,-13.53,5.08
800,4.63,-12.98,5.52
810,6.28,-11.79,7.08
820,7.29,-9.96,9.93
830,7.18,-7.04,13.4
840,7.13,-3.53,16.35
850,6.64,-1.53,18.16
860,6.06,-1.03,18.24
870,5.6,-0.73,17.49
880,5.46,-0.13,17.11
890,5.65,0.91,17.29
900,5.85,2.41,16.8
910,5.33,4.0,15.29
920,4.98,5.09,13.96
930,4.78,5.02,13.33
940,4.78,4.27,13.17
950,4.65,3.59,13.37
960,4.74,3.14,13.22
970,4.63,2.37,12.08
980,4.53,2.11,11.37
990,4.37,1.95,10.94
1000,4.34,2.17,10.55
