timestamp,x,y,z
0,2.35,-0.45,9.65
10,2.8,-0.35,8.61
20,3.36,-0.1,7.6
30,4.05,0.22,6.2
40,4.72,1.16,4.24
50,5.06,2.55,1.89
60,5.55,4.22,-0.56
70,5.82,6.18,-2.3
80,6.12,7.67,-2.57
90,6.99,7.55,-1.36
100,8.02,5.89,0.37
110,8.96,1.98,1.28
120,9.66,-3.58,1.53
130,10.08,-9.75,2.09
140,9.7,-15.43,2.92
150,9.32,-19.17,4.69
160,9.07,-20.68,7.42
170,8.62,-20.76,10.16
180,7.99,-19.87,11.77
190,7.92,-18.3,13.29
200,7.82,-16.41,15.01
210,7.93,-14.02,16.8
220,8.09,-11.0,18.5
230,7.74,-8.69,19.76
240,6.95,-7.03,21.15
250,5.93,-5.26,23.02
260,4.99,-3.33,24.72
270,4.33,-1.79,25.68
280,4.17,-0.71,25.35
290,4.44,0.49,22.97
300,4.33,1.67,19.55
310,4.13,2.55,16.59
320,3.74,3.43,14.52
330,3.46,4.71,13.54
340,4.24,5.99,13.68
350,5.15,6.56,13.73
360,5.23,7.02,12.63
370,4.93,7.64,11.94
380,4.06,7.98,12.28
390,4.36,7.94,12.13
400,4.79,6.9,11.92
410,4.92,5.32,10.69
420,4.99,3.22,8.15
430,4.7,1.53,5.07
440,4.1,1.13,2.95
450,3.75,1.59,2.39
460,3.95,1.76,2.69
470,4.5,1.53,2.82
480,5.07,1.1,2.21
490,6.02,-0.04,1.72
500,6.51,-0.91,1.36
510,6.9,-2.38,1.33
520,7.67,-3.8,2.37
530,7.95,-4.88,4.2
540,7.96,-5.79,5.92
550,7.83,-7.85,6.36
560,7.48,-10.68,5.36
570,6.98,-13.85,3.86
580,6.77,-17.29,3.41
590,7.33,-18.02,4.29
600,7.83,-17.76,6.24
610,8.54,-16.89,8.49
620,9.51,-15.46,11.25
630,10.0,-13.15,13.95
640,10.42,-10.51,15.29
650,10.38,-8.38,15.06
660,10.52,-7.34,14.02
670,10.3,-6.7,12.97
680,9.63,-5.51,12.46
690,9.4,-4.42,13.26
700,9.05,-3.57,15.44
710,8.18,-2.47,18.71
720,7.65,-0.65,22.15
730,7.38,1.2,24.3
740,7.41,2.31,25.17
750,7.42,2.8,23.12
760,7.03,2.89,18.35
770,6.45,2.48,12.92
780,5.97,1.7,9.68
790,5.55,1.23,8.49
800,5.04,1.96,8.42
810,5.57,3.64,10.92
820,4.84,4.4,12.46
830,4.29,4.29,12.61
840,4.05,3.03,13.09
850,7.68,-1.29,5.52
860,5.32,2.46,11.76
870,5.33,1.77,9.16
880,4.47,0.65,4.41
890,2.79,0.7,4.38
900,2.79,1.21,7.7
910,3.41,1.25,9.57
920,3.26,1.55,9.56
930,3.51,0.79,9.62
940,4.02,-0.7,7.9
950,3.82,-1.7,5.56
960,3.16,-1.85,4.53
970,3.03,-1.58,4.56
980,3.2,-2.09,3.96
990,3.06,-2.62,2.82
1000,3.07,-2.5,2.49
