timestamp,x,y,z
0,0.42,2.23,13.84
10,0.29,3.27,15.07
20,0.18,4.36,16.11
30,0.54,5.07,16.66
40,1.17,5.23,16.05
50,1.88,4.97,14.74
60,2.63,4.6,13.06
70,3.13,4.43,11.15
80,3.64,4.53,9.67
90,3.87,4.99,8.71
100,3.94,5.34,7.99
110,4.07,5.05,7.16
120,4.3,4.58,6.36
130,4.47,3.6,5.53
140,4.6,2.31,4.88
150,4.75,1.23,4.32
160,4.76,0.66,3.73
170,4.65,0.18,3.26
180,4.57,-0.34,3.28
190,4.59,-0.45,3.56
200,4.35,-0.7,3.72
210,4.47,-0.98,4.09
220,4.75,-1.98,4.16
230,4.84,-3.55,4.15
240,5.04,-4.94,4.71
250,5.39,-6.12,5.6
260,5.6,-6.94,6.05
270,6.1,-6.81,7.13
280,6.18,-6.76,9.31
290,5.97,-7.11,12.14
300,6.3,-7.82,13.78
310,6.21,-8.34,15.14
320,5.54,-7.33,15.69
330,4.69,-6.39,17.52
340,3.39,-5.75,20.99
350,2.89,-4.53,23.89
360,2.53,-3.52,24.82
370,2.1,-2.11,23.83
380,2.15,-0.43,22.38
390,2.22,-0.4,20.87
400,2.31,0.9,19.62
410,2.05,1.07,18.09
420,2.39,0.2,17.36
430,2.61,0.44,17.25
440,2.66,0.42,17.6
450,2.72,0.76,18.47
460,2.94,1.56,19.09
470,4.1,2.89,19.15
480,4.96,5.33,17.66
490,5.29,8.69,14.42
500,5.09,11.99,11.53
510,4.75,13.75,10.27
520,4.86,13.99,11.25
530,5.62,13.03,13.01
540,6.39,11.64,13.56
550,6.83,11.18,12.36
560,6.98,10.65,10.44
570,7.23,9.99,9.24
580,7.79,8.88,8.56
590,8.46,7.3,7.74
600,8.65,6.16,6.67
610,8.67,5.15,5.47
620,8.82,4.71,3.91
630,8.35,4.29,2.64
640,7.92,3.59,2.5
650,7.93,2.19,2.69
660,7.61,0.67,2.38
670,7.15,-0.17,2.04
680,6.67,-2.0,2.76
690,6.62,-3.36,4.15
700,6.07,-3.71,5.49
710,5.26,-3.58,6.24
720,4.95,-3.09,7.27
730,4.47,-2.99,8.75
740,4.31,-3.51,10.47
750,4.41,-4.03,11.3
760,4.4,-4.43,10.99
770,4.61,-5.36,10.73
780,4.81,-6.56,10.87
790,4.52,-7.17,11.49
800,4.86,-7.38,11.75
810,4.85,-7.9,13.85
820,4.26,-7.8,14.6
830,3.63,-7.5,15.5
840,2.91,-6.89,17.37
850,2.63,-6.45,19.22
860,2.47,-4.7,19.76
870,2.55,-2.55,19.25
880,2.91,-1.08,18.32
890,2.87,0.23,16.72
900,2.89,0.4,15.25
910,2.91,-0.92,14.63
920,3.06,-2.47,14.72
930,3.5,-3.0,14.79
940,3.89,-2.39,14.69
950,3.97,-0.45,14.97
960,3.68,2.38,15.71
970,3.55,4.44,17.13
980,3.66,5.54,18.36
990,3.76,5.63,18.69
1000,4.12,4.83,18.12
