timestamp,x,y,z
0,3.7,-0.14,16.05
10,3.62,1.93,17.13
20,3.74,3.58,17.59
30,4.01,4.84,17.36
40,4.36,5.81,16.41
50,5.21,6.22,14.48
60,5.69,6.17,11.43
70,6.34,5.14,7.7
80,6.87,4.91,3.88
90,7.25,5.4,0.68
100,7.35,5.66,-1.76
110,7.31,5.11,-1.7
120,8.52,3.16,0.37
130,8.72,-1.06,3.1
140,8.18,-6.13,6.05
150,7.81,-10.84,7.98
160,7.61,-15.01,7.32
170,7.92,-18.37,4.67
180,7.51,-18.94,2.09
190,7.67,-18.36,1.39
200,8.38,-16.67,2.64
210,8.9,-14.54,4.91
220,9.21,-12.54,7.85
230,9.2,-11.2,11.13
240,8.82,-9.05,15.23
250,8.34,-6.11,19.74
260,7.99,-3.73,23.23
270,7.99,-1.64,25.77
280,7.89,1.09,27.17
290,7.37,4.77,27.17
300,7.04,8.32,25.52
310,7.23,12.0,23.03
320,7.57,17.47,18.7
330,6.9,20.56,14.1
340,8.63,15.56,13.16
350,9.58,9.97,12.28
360,10.02,7.43,9.47
370,9.33,5.14,6.26
380,8.92,3.82,5.13
390,9.34,4.53,4.97
400,9.96,5.67,3.81
410,10.43,6.5,1.36
420,10.33,7.65,-1.7
430,10.15,7.62,-2.6
440,11.04,5.37,-0.7
450,11.66,0.28,1.32
460,11.46,-6.23,2.97
470,10.5,-12.71,3.92
480,8.17,-17.17,3.42
490,7.27,-20.34,2.54
500,7.93,-20.36,0.6
510,8.57,-15.66,-0.73
520,9.71,-10.79,1.51
530,10.74,-9.09,6.36
540,11.24,-8.53,12.32
550,10.53,-7.78,17.86
560,9.1,-7.02,21.95
570,8.03,-4.9,24.54
580,6.71,-2.81,25.34
590,5.24,-2.29,25.01
600,4.44,-3.18,23.82
610,4.4,-4.7,21.86
620,4.73,-5.17,19.39
630,4.83,-3.94,17.25
640,4.89,-2.31,15.23
650,4.73,-0.43,13.38
660,4.44,1.91,11.57
670,2.85,6.27,8.62
680,2.69,9.77,7.13
690,4.55,7.6,10.06
700,5.74,5.76,13.85
710,5.67,5.09,16.08
720,6.04,5.74,16.4
730,6.85,6.27,13.6
740,7.2,5.72,9.01
750,6.85,5.65,4.86
760,6.08,6.39,3.4
770,5.6,8.26,4.86
780,5.99,10.02,6.82
790,6.93,10.2,7.51
800,7.73,8.94,6.01
810,8.43,6.27,3.61
820,8.86,4.76,1.58
830,9.06,3.51,0.06
840,9.23,1.71,-0.46
850,9.31,-0.78,0.63
860,9.32,-3.94,2.38
870,9.41,-7.09,3.77
880,8.89,-10.24,4.64
890,8.76,-13.83,5.83
900,8.35,-16.75,7.51
910,8.18,-19.04,9.47
920,8.7,-19.29,10.64
930,8.54,-18.0,9.43
940,8.32,-15.33,7.14
950,7.35,-12.46,6.54
960,6.78,-10.04,10.25
970,6.79,-7.95,17.57
980,6.8,-6.28,22.25
990,5.74,-4.87,22.52
1000,4.81,-4.56,21.16
