timestamp,x,y,z
0,6.05,6.94,14.2
10,5.24,8.76,15.07
20,4.8,10.2,16.19
30,4.48,11.62,16.86
40,4.82,12.3,16.09
50,4.97,12.95,14.71
60,4.87,13.36,13.33
70,6.65,12.85,11.25
80,7.37,11.43,7.52
90,7.79,9.46,4.34
100,7.86,7.44,2.1
110,7.4,5.85,1.07
120,6.99,4.42,0.62
130,6.67,2.83,0.27
140,6.32,1.47,0.19
150,6.06,0.64,-0.35
160,6.03,-0.34,-1.41
170,6.34,-1.75,-2.06
180,6.58,-3.01,-1.92
190,6.96,-4.33,-1.39
200,7.64,-5.92,-0.46
210,9.0,-7.82,0.97
220,10.07,-9.79,2.66
230,11.34,-10.91,5.07
240,12.85,-10.55,8.2
250,13.41,-9.41,11.79
260,13.26,-7.86,16.04
270,12.44,-5.46,19.31
280,11.3,-3.07,21.45
290,9.79,-1.3,21.29
300,9.08,-1.16,21.27
310,8.61,0.02,20.48
320,8.34,-0.52,20.35
330,8.29,-0.92,21.6
340,8.25,-1.02,22.29
350,8.77,0.01,21.45
360,9.12,1.51,19.46
370,9.37,3.18,17.47
380,8.83,5.1,15.89
390,8.09,6.65,14.95
400,7.24,7.83,14.86
410,5.92,9.73,15.94
420,4.92,10.46,16.55
430,4.58,9.47,16.41
440,4.73,8.54,16.23
450,5.25,7.87,15.32
460,5.68,7.61,13.7
470,6.07,7.28,11.88
480,6.35,7.2,10.45
490,6.15,7.3,9.43
500,5.56,7.68,8.67
510,5.32,7.69,7.93
520,5.24,7.03,6.95
530,5.34,6.47,5.68
540,5.43,5.94,4.12
550,5.57,5.18,2.99
560,5.6,4.27,2.13
570,5.51,3.77,1.06
580,5.31,3.2,-0.04
590,5.23,2.38,-0.23
600,5.21,1.5,1.0
610,5.3,0.46,2.8
620,5.36,-0.53,3.62
630,5.43,-1.9,3.71
640,5.65,-3.38,4.22
650,6.05,-4.81,4.78
660,6.01,-6.3,5.05
670,5.91,-7.11,5.71
680,6.16,-6.66,6.2
690,6.97,-6.17,5.87
700,8.43,-6.06,5.2
710,9.69,-6.14,5.39
720,10.74,-5.96,8.73
730,10.77,-4.7,15.01
740,10.1,-2.46,20.51
750,9.41,-0.84,22.89
760,8.54,-0.59,22.68
770,8.19,-1.32,21.03
780,8.13,-2.66,19.12
790,8.01,-2.94,16.57
800,8.0,-2.72,13.89
810,8.23,-2.42,12.9
820,8.56,-1.25,13.48
830,8.23,0.04,14.82
840,8.03,0.58,16.11
850,7.92,0.94,16.31
860,7.76,1.41,16.4
870,7.54,1.6,16.59
880,7.43,2.23,16.6
890,7.5,3.28,15.72
900,7.55,4.35,14.27
910,7.42,5.31,13.59
920,7.31,5.91,13.67
930,7.27,6.26,13.41
940,7.21,6.81,13.28
950,6.95,7.64,13.36
960,6.56,9.18,13.6
970,6.32,10.0,13.4
980,6.51,10.07,12.2
990,6.45,9.83,11.17
1000,6.71,8.82,10.53
