timestamp,x,y,z
0,0.67,7.13,14.94
10,1.11,7.85,14.43
20,1.47,8.31,13.14
30,2.03,8.51,11.26
40,2.6,8.81,8.77
50,2.99,9.25,5.41
60,4.06,10.29,0.16
70,4.98,10.19,-3.17
80,6.2,9.26,-4.28
90,7.09,6.79,-2.71
100,7.72,4.38,-0.18
110,8.27,2.28,1.62
120,8.75,-0.74,2.51
130,9.38,-4.87,2.77
140,10.22,-11.4,2.92
150,10.85,-19.11,3.68
160,11.13,-24.39,6.15
170,11.56,-25.12,8.86
180,12.5,-23.34,12.45
190,13.49,-21.19,18.29
200,12.85,-15.76,25.48
210,11.02,-9.4,31.23
220,9.75,-2.41,32.27
230,8.56,2.87,29.89
240,8.22,5.27,27.31
250,8.53,7.6,24.78
260,8.33,10.95,20.62
270,7.85,15.07,17.57
280,5.53,19.38,17.04
290,3.86,22.51,17.31
300,3.28,21.2,17.12
310,4.04,18.43,15.55
320,5.28,15.34,12.52
330,6.34,13.02,9.33
340,6.83,11.65,5.81
350,6.96,11.98,1.76
360,7.66,12.19,-1.6
370,8.58,9.48,-3.31
380,9.96,6.67,-4.04
390,10.3,3.99,-4.1
400,10.78,0.87,-1.75
410,11.34,-3.39,0.83
420,11.82,-10.95,3.46
430,11.3,-19.48,5.32
440,11.56,-25.32,6.54
450,12.22,-26.41,7.42
460,13.71,-24.6,9.22
470,15.16,-18.92,11.37
480,15.18,-11.13,13.13
490,14.61,-4.89,15.34
500,13.53,-0.36,19.14
510,11.54,2.82,22.39
520,10.23,3.68,27.58
530,8.56,3.35,30.57
540,8.09,3.42,30.46
550,8.62,4.41,27.27
560,9.25,7.02,22.39
570,9.56,10.53,18.04
580,8.62,15.87,15.98
590,6.93,19.93,15.91
600,6.2,21.2,16.66
610,6.05,21.1,14.73
620,6.23,19.84,11.42
630,7.34,16.96,8.1
640,8.89,12.72,4.49
650,9.6,8.44,0.48
660,9.11,4.87,-1.84
670,8.88,2.2,-1.87
680,7.88,0.94,-1.56
690,6.5,0.04,-1.01
700,6.34,-0.42,0.67
710,5.93,-0.79,2.25
720,5.82,-1.38,4.35
730,5.93,-2.33,5.95
740,6.21,-4.87,7.35
750,6.16,-9.09,9.56
760,5.82,-13.22,11.57
770,5.72,-14.33,12.57
780,5.55,-13.35,12.6
790,5.7,-11.25,12.04
800,5.73,-9.0,10.9
810,5.83,-5.6,10.23
820,6.41,-2.04,9.47
830,5.93,1.38,8.12
840,5.06,3.61,8.26
850,4.93,4.21,10.09
860,4.7,3.12,11.38
870,4.76,1.25,12.25
880,5.19,-0.33,12.32
890,5.57,-1.0,11.63
900,5.73,-0.91,10.96
910,6.1,-0.31,10.66
920,6.35,0.05,10.25
930,6.1,0.01,10.45
940,6.04,0.11,11.38
950,5.57,0.26,11.93
960,5.19,-0.05,12.7
970,5.09,-0.82,13.93
980,5.17,-1.78,14.94
990,5.29,-2.52,15.62
1000,5.45,-2.21,15.81
