timestamp,x,y,z
0,11.73,-4.96,21.06
10,11.66,-1.35,19.25
20,10.72,3.81,18.25
30,9.12,8.61,18.55
40,7.39,11.48,19.4
50,5.81,13.3,20.07
60,4.71,13.69,20.22
70,4.56,13.15,20.01
80,4.54,12.06,18.71
90,5.29,11.19,16.92
100,6.65,9.93,13.68
110,7.52,8.32,9.23
120,7.68,8.08,6.12
130,7.81,7.61,4.09
140,8.08,6.19,2.42
150,8.4,3.63,0.95
160,8.48,0.93,-0.19
170,8.48,-1.19,-0.89
180,8.58,-2.09,-1.6
190,8.21,-1.91,-3.2
200,7.44,-0.52,-5.37
210,7.45,0.78,-6.71
220,8.14,0.78,-5.99
230,9.33,-1.15,-3.53
240,10.04,-4.85,-0.45
250,10.76,-9.7,2.71
260,11.56,-14.86,5.73
270,11.93,-18.61,8.24
280,13.62,-17.62,10.02
290,14.69,-14.1,11.3
300,15.5,-10.16,12.54
310,14.79,-6.27,13.63
320,14.65,-1.47,15.53
330,13.21,0.51,17.25
340,11.89,0.64,19.65
350,10.38,0.0,24.04
360,9.25,-0.02,28.87
370,8.88,0.18,30.46
380,8.67,-0.71,28.73
390,9.46,-1.04,26.22
400,10.6,-1.02,22.78
410,11.35,0.26,18.4
420,11.64,2.98,14.55
430,11.16,6.01,12.19
440,10.17,8.51,12.36
450,9.18,9.85,13.72
460,8.44,9.9,14.26
470,7.86,9.3,14.56
480,7.44,9.72,14.54
490,7.21,10.23,13.67
500,7.34,10.93,12.59
510,7.62,11.57,11.17
520,7.8,11.44,9.56
530,7.98,10.52,8.03
540,8.15,9.33,6.7
550,8.01,8.75,6.38
560,8.02,7.68,5.5
570,8.13,5.99,4.09
580,8.09,4.7,3.39
590,7.9,3.68,2.79
600,7.55,3.17,3.0
610,7.43,2.34,2.79
620,7.3,1.26,1.42
630,7.08,0.24,-0.3
640,6.7,-0.77,-1.24
650,6.71,-1.46,-1.27
660,6.71,-2.1,-0.74
670,6.71,-3.03,-0.14
680,7.26,-5.62,0.57
690,7.9,-8.99,1.18
700,8.15,-11.09,1.91
710,9.71,-12.43,3.16
720,12.07,-12.37,4.44
730,14.15,-10.68,6.33
740,16.07,-8.01,8.47
750,17.93,-5.49,10.36
760,18.16,-2.5,12.56
770,17.65,0.79,15.85
780,16.49,2.76,19.43
790,14.16,3.3,22.36
800,12.36,2.62,24.62
810,10.98,2.28,24.45
820,10.5,0.72,23.45
830,11.31,-0.96,22.12
840,12.22,-1.4,20.56
850,13.08,-0.16,19.61
860,13.33,1.65,19.2
870,13.4,4.45,18.11
880,12.82,7.24,15.87
890,11.92,10.16,14.02
900,10.49,11.98,13.95
910,9.91,11.39,15.23
920,9.0,10.98,15.94
930,9.25,10.49,15.93
940,8.98,10.82,14.69
950,8.78,12.13,13.83
960,8.8,13.25,12.82
970,8.93,14.17,11.79
980,9.43,14.14,10.51
990,10.72,13.34,8.86
1000,11.14,11.69,6.08
