timestamp,x,y,z
0,3.31,0.06,15.65
10,3.17,1.08,14.73
20,3.15,1.98,13.39
30,2.96,2.68,13.01
40,2.74,3.5,13.17
50,2.65,4.57,13.33
60,2.47,6.02,13.25
70,2.21,7.71,13.19
80,2.64,8.65,12.65
90,3.26,8.42,11.07
100,3.85,7.04,8.71
110,3.55,5.99,5.86
120,3.65,5.88,2.77
130,3.73,5.63,0.86
140,3.67,5.49,0.26
150,3.67,5.21,0.23
160,4.1,4.95,0.51
170,5.1,4.16,0.2
180,5.62,3.83,-0.75
190,6.52,3.05,-1.26
200,7.23,1.18,-0.88
210,8.15,-1.79,0.23
220,9.42,-5.85,2.42
230,10.54,-9.32,3.95
240,12.27,-11.03,5.81
250,13.48,-11.04,7.88
260,14.28,-9.63,11.27
270,14.1,-7.02,15.29
280,13.29,-4.71,18.96
290,12.28,-2.15,22.32
300,10.0,-1.5,25.06
310,8.91,-2.07,27.38
320,8.17,-2.39,25.85
330,8.05,-2.5,23.13
340,8.09,-3.06,20.71
350,8.55,-3.36,19.29
360,9.32,-2.42,18.04
370,9.96,-0.86,17.29
380,9.97,2.02,16.75
390,10.25,4.56,15.99
400,9.67,7.44,15.19
410,8.16,10.94,15.9
420,6.73,13.66,17.53
430,5.84,15.0,17.85
440,5.27,15.64,16.9
450,5.26,15.8,15.27
460,5.66,15.32,13.72
470,6.47,13.79,12.14
480,7.42,11.71,10.04
490,7.92,9.82,7.47
500,7.96,9.13,5.09
510,7.35,9.35,3.1
520,6.97,8.46,2.03
530,7.17,5.73,1.57
540,7.02,3.48,1.02
550,6.7,1.66,0.21
560,6.19,0.74,-0.34
570,5.77,0.58,0.13
580,5.96,0.36,1.75
590,6.05,0.27,2.86
600,6.64,-0.14,3.26
610,7.16,-1.49,3.45
620,7.97,-3.97,4.24
630,9.12,-7.08,5.11
640,9.74,-9.58,5.92
650,10.21,-10.39,6.45
660,11.0,-9.79,8.06
670,11.3,-8.23,9.62
680,11.12,-5.04,10.73
690,11.01,-3.58,12.2
700,11.39,-2.08,13.08
710,11.22,-1.14,14.12
720,10.87,-1.0,15.85
730,10.16,-2.27,17.74
740,10.42,-3.49,18.5
750,9.76,-4.64,18.38
760,10.52,-3.95,19.22
770,10.56,-2.05,18.45
780,11.16,-0.53,17.41
790,11.47,1.18,16.78
800,11.35,2.99,16.65
810,11.17,4.73,17.09
820,10.83,4.86,17.32
830,10.57,5.53,17.03
840,10.19,7.46,17.58
850,8.64,9.89,19.2
860,7.38,11.41,20.7
870,7.01,12.5,21.06
880,7.37,12.34,19.62
890,8.09,12.08,17.55
900,8.74,11.3,15.81
910,9.78,11.27,14.54
920,10.69,10.22,12.46
930,11.82,8.5,10.21
940,12.64,6.27,7.5
950,12.34,4.89,5.17
960,11.39,3.81,3.61
970,10.37,2.99,2.54
980,9.39,2.56,1.17
990,8.14,1.88,-0.92
1000,6.99,2.3,-3.12
