timestamp,x,y,z
0,2.61,5.58,14.79
10,2.66,5.65,13.76
20,2.96,4.71,11.91
30,3.63,3.27,9.92
40,4.19,2.64,7.91
50,4.68,3.28,5.28
60,5.1,4.04,2.52
70,5.31,4.34,0.62
80,5.61,3.9,0.55
90,6.05,2.38,2.64
100,6.73,0.32,5.25
110,7.01,-2.8,6.42
120,6.89,-6.16,6.84
130,6.95,-10.93,5.87
140,7.14,-15.73,4.75
150,7.47,-17.95,3.99
160,8.25,-17.13,3.25
170,8.93,-14.75,3.78
180,9.72,-12.74,5.75
190,10.24,-11.17,9.19
200,10.26,-10.61,13.43
210,10.25,-8.77,17.89
220,9.33,-4.96,22.1
230,8.04,-0.72,26.11
240,7.43,1.3,28.31
250,7.03,1.1,27.71
260,6.66,-0.09,23.97
270,6.75,-0.11,19.43
280,6.77,1.43,16.52
290,6.61,5.29,14.69
300,5.62,11.47,10.64
310,8.31,12.72,11.61
320,8.96,10.95,15.82
330,8.74,13.35,17.01
340,8.89,13.82,13.47
350,9.22,12.97,8.19
360,9.38,11.82,3.86
370,9.35,9.93,1.03
380,9.2,8.47,-0.94
390,9.11,7.59,-2.16
400,9.39,7.34,-2.68
410,9.78,6.52,-1.18
420,10.17,4.97,1.06
430,10.8,1.91,1.76
440,10.62,-3.11,1.91
450,9.86,-9.31,3.24
460,9.77,-15.5,4.83
470,8.69,-19.97,4.24
480,7.87,-21.72,1.25
490,8.36,-20.83,-0.81
500,10.66,-18.25,-0.52
510,12.14,-14.99,1.41
520,13.18,-11.46,4.96
530,13.9,-9.41,9.14
540,13.11,-8.49,14.26
550,11.75,-7.28,19.69
560,10.28,-5.05,24.0
570,8.85,-4.44,27.27
580,7.39,-4.06,30.81
590,4.48,-4.52,23.23
600,6.47,-4.52,22.11
610,6.48,-3.86,19.94
620,6.15,-2.35,16.71
630,4.38,3.97,12.68
640,5.49,4.97,12.42
650,6.39,3.04,13.57
660,6.27,3.73,13.8
670,6.53,5.27,13.78
680,6.82,6.1,13.55
690,7.07,6.45,13.77
700,7.69,6.03,14.05
710,8.13,5.43,13.14
720,8.36,5.98,11.65
730,8.66,6.43,9.75
740,8.79,7.17,7.66
750,9.0,7.69,5.81
760,9.09,8.7,4.56
770,9.47,8.83,3.1
780,10.01,7.5,0.94
790,10.23,5.01,-0.62
800,10.5,3.41,-0.44
810,10.45,1.41,0.79
820,10.16,-1.5,2.43
830,9.94,-6.51,4.31
840,9.6,-11.41,5.75
850,8.53,-15.74,5.51
860,7.69,-20.29,4.01
870,7.87,-23.49,2.83
880,7.91,-24.26,2.59
890,8.59,-22.29,3.48
900,9.94,-19.29,4.57
910,11.42,-16.54,6.71
920,11.81,-13.17,9.82
930,11.38,-9.33,13.1
940,10.33,-5.86,16.96
950,8.89,-4.94,20.54
960,7.35,-4.72,23.58
970,6.51,-4.53,24.85
980,6.09,-4.81,23.76
990,6.13,-4.94,20.76
1000,6.25,-4.44,17.49
