timestamp,x,y,z
0,1.44,-0.94,18.37
10,1.81,-0.32,18.54
20,2.05,0.81,18.17
30,2.42,1.69,17.84
40,3.56,2.64,17.13
50,4.64,4.82,15.6
60,4.63,7.51,13.91
70,4.25,9.6,13.22
80,4.19,10.29,13.89
90,4.73,9.93,14.98
100,5.92,9.61,15.23
110,6.87,8.64,13.68
120,7.8,7.14,10.99
130,8.41,5.19,7.47
140,8.65,3.17,4.51
150,8.19,2.29,2.28
160,7.52,1.88,0.96
170,7.03,2.04,0.71
180,6.79,2.17,1.04
190,6.88,1.87,1.31
200,6.49,0.36,1.79
210,6.27,-2.29,3.11
220,6.06,-5.57,4.59
230,5.54,-7.27,5.04
240,4.71,-7.9,4.53
250,4.28,-8.57,4.11
260,4.18,-9.09,4.2
270,4.12,-9.63,4.82
280,4.58,-9.9,6.02
290,5.04,-9.76,7.33
300,5.18,-8.95,8.73
310,5.14,-7.87,9.35
320,5.6,-6.96,12.11
330,4.65,-7.23,14.05
340,4.49,-7.09,15.02
350,4.53,-6.32,15.5
360,4.44,-4.86,16.34
370,3.74,-2.97,18.12
380,2.65,-3.03,20.73
390,2.65,-1.06,23.96
400,2.06,0.65,24.83
410,2.03,1.33,23.62
420,2.59,0.41,21.02
430,3.69,0.14,18.4
440,4.35,0.79,16.43
450,4.31,1.51,15.7
460,4.08,2.14,16.3
470,4.1,2.87,17.29
480,4.43,3.54,18.15
490,5.14,4.76,18.22
500,6.21,6.65,16.45
510,6.89,9.18,13.13
520,6.65,10.99,9.72
530,6.07,10.59,7.39
540,5.8,8.57,6.65
550,5.93,6.31,6.64
560,6.04,5.18,6.82
570,5.97,5.14,7.84
580,6.13,5.73,8.9
590,6.46,5.86,8.37
600,6.88,5.57,6.62
610,7.15,4.34,4.49
620,7.5,2.93,2.81
630,7.57,1.35,1.83
640,6.59,-0.31,1.77
650,5.72,-2.22,2.78
660,4.92,-4.35,3.73
670,4.73,-6.16,4.3
680,4.73,-8.8,4.58
690,4.64,-11.81,4.29
700,4.44,-14.04,3.03
710,4.71,-14.75,2.22
720,5.78,-15.05,3.07
730,6.56,-14.14,5.5
740,6.54,-12.27,8.97
750,6.74,-10.1,13.0
760,5.63,-8.98,16.04
770,5.6,-7.84,19.67
780,4.43,-7.56,23.58
790,3.15,-6.21,25.66
800,2.44,-4.47,26.24
810,2.04,-2.98,25.3
820,3.04,-1.59,23.0
830,3.79,-0.49,19.94
840,4.0,3.16,17.88
850,2.75,5.39,17.07
860,1.77,5.33,18.84
870,1.65,4.46,21.0
880,2.25,4.28,21.84
890,3.09,5.21,20.9
900,4.15,6.96,18.2
910,4.91,9.09,13.95
920,4.69,11.23,9.94
930,4.41,11.72,7.43
940,3.97,10.57,6.64
950,3.57,8.79,7.58
960,3.92,7.45,9.22
970,4.32,6.55,9.98
980,4.49,5.55,10.13
990,5.17,4.0,9.42
1000,5.55,2.38,7.74
